PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Business of State		9780674919990							https://www.degruyter.com/openurl?genre=book&isbn=9780674919990	Mishra	9780674919990		fulltext		Harvard University Press	monograph	2018	2018						P	1030304393
A People’s History of Computing in the United States		9780674988538							https://www.degruyter.com/openurl?genre=book&isbn=9780674988538	Rankin	9780674988538		fulltext		Harvard University Press	monograph	2018	2018						P	1056952259
A Specter Haunting Europe		9780674988569							https://www.degruyter.com/openurl?genre=book&isbn=9780674988569	Hanebrink	9780674988569		fulltext		Harvard University Press	monograph	2020	2018						P	1054128808
A World of Empires		9780674985728							https://www.degruyter.com/openurl?genre=book&isbn=9780674985728	Bojanowska	9780674985728		fulltext		Harvard University Press	monograph	2018	2018						P	1030578527
Accounting for Slavery		9780674988590							https://www.degruyter.com/openurl?genre=book&isbn=9780674988590		9780674988590		fulltext		Harvard University Press	monograph	2018	2018						P	1044734042
Adaptive Oncogenesis		9780674985964							https://www.degruyter.com/openurl?genre=book&isbn=9780674985964	DeGregori	9780674985964		fulltext		Harvard University Press	monograph	2018	2018						P	1024312574
Age of Conquests		9780674982406							https://www.degruyter.com/openurl?genre=book&isbn=9780674982406	Chaniotis	9780674982406		fulltext		Harvard University Press	monograph	2018	2018						P	1097597675
America Classifies the Immigrants		9780674986183							https://www.degruyter.com/openurl?genre=book&isbn=9780674986183	Perlmann	9780674986183		fulltext		Harvard University Press	monograph	2018	2018						P	1028732108
Aquinas and the Market		9780674988620							https://www.degruyter.com/openurl?genre=book&isbn=9780674988620	Hirschfeld	9780674988620		fulltext		Harvard University Press	monograph	2018	2018						P	1057018222
As the World Ages		9780674919839							https://www.degruyter.com/openurl?genre=book&isbn=9780674919839	Sivaramakrishnan	9780674919839		fulltext		Harvard University Press	monograph	2018	2018						P	1030304418
Austrian Reconstruction and the Collapse of Global Finance, 1921–1931		9780674982581							https://www.degruyter.com/openurl?genre=book&isbn=9780674982581	Marcus	9780674982581		fulltext		Harvard University Press	monograph	2018	2018						P	1030308116
Beginning at the End		9780674919716							https://www.degruyter.com/openurl?genre=book&isbn=9780674919716	Stilling	9780674919716		fulltext		Harvard University Press	monograph	2018	2018						P	1030304374
Beyond Abortion		9780674919419							https://www.degruyter.com/openurl?genre=book&isbn=9780674919419	Ziegler	9780674919419		fulltext		Harvard University Press	monograph	2018	2018						P	1054879336
Bioinspired Devices		9780674981928							https://www.degruyter.com/openurl?genre=book&isbn=9780674981928	Goldfield	9780674981928		fulltext		Harvard University Press	monograph	2018	2018						P	1035158296
Blockchain and the Law		9780674985933							https://www.degruyter.com/openurl?genre=book&isbn=9780674985933	De Filippi	9780674985933		fulltext		Harvard University Press	monograph	2018	2018						P	1030578622
Boundaries of the International		9780674986275							https://www.degruyter.com/openurl?genre=book&isbn=9780674986275	Pitts	9780674986275		fulltext		Harvard University Press	monograph	2018	2018						P	1027218809
Bring the War Home		9780674984943							https://www.degruyter.com/openurl?genre=book&isbn=9780674984943	Belew	9780674984943		fulltext		Harvard University Press	monograph	2018	2018						P	1028731825
Calculated Values		9780674985995							https://www.degruyter.com/openurl?genre=book&isbn=9780674985995	Deringer	9780674985995		fulltext		Harvard University Press	monograph	2018	2018						P	1021883308
Catholic Modern		9780674985872							https://www.degruyter.com/openurl?genre=book&isbn=9780674985872	Chappel	9780674985872		fulltext		Harvard University Press	monograph	2018	2018						P	1022846244
China at War		9780674919525							https://www.degruyter.com/openurl?genre=book&isbn=9780674919525	van de Ven	9780674919525		fulltext		Harvard University Press	monograph	2018	2018						P	1035390238
