PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Brief and Tentative Analysis of Negro Leadership		9780814729403							https://www.degruyter.com/openurl?genre=book&isbn=9780814729403	Bunche	9780814729403		fulltext		New York University Press	monograph	2005	2005						P	77004840
A Comparative Sociology of World Religions		9780814786635							https://www.degruyter.com/openurl?genre=book&isbn=9780814786635	Sharot	9780814786635		fulltext		New York University Press	monograph	2001	2001						P	
A Death at Crooked Creek		9780814784570							https://www.degruyter.com/openurl?genre=book&isbn=9780814784570	Wesson	9780814784570		fulltext		New York University Press	monograph	2013	2013						P	836864191
A Feeling of Belonging		9780814765241							https://www.degruyter.com/openurl?genre=book&isbn=9780814765241	Lim	9780814765241		fulltext		New York University Press	monograph	2005	2005						P	
A Grand Illusion?		9780814724286							https://www.degruyter.com/openurl?genre=book&isbn=9780814724286	Judt	9780814724286		fulltext		New York University Press	monograph	2011	2011						P	746338541
A Half-Century of Greatness		9780814722800							https://www.degruyter.com/openurl?genre=book&isbn=9780814722800	Ewen	9780814722800		fulltext		New York University Press	monograph	2007	2007						P	
A. Philip Randolph		9781479899388							https://www.degruyter.com/openurl?genre=book&isbn=9781479899388	Taylor	9781479899388		fulltext		New York University Press	monograph	2005	2005						P	
A Rabble in Arms		9780814797464							https://www.degruyter.com/openurl?genre=book&isbn=9780814797464	Zelner	9780814797464		fulltext		New York University Press	monograph	2009	2009						P	646885684
A Race So Different		9780814745250							https://www.degruyter.com/openurl?genre=book&isbn=9780814745250	Chambers-Letson	9780814745250		fulltext		New York University Press	monograph	2013	2013						P	861536771
A Respectable Woman		9780814785188							https://www.degruyter.com/openurl?genre=book&isbn=9780814785188	Dabel	9780814785188		fulltext		New York University Press	monograph	2008	2008						P	779828336
A Treasury of Virtues		9780814729250							https://www.degruyter.com/openurl?genre=book&isbn=9780814729250	al-Quḍāʿī	9780814729250		fulltext		New York University Press	monograph	2013	2013						P	1058141686
