PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Critical Introduction to Religion in the Americas		9781479821211							https://www.degruyter.com/openurl?genre=book&isbn=9781479821211	Gonzalez	9781479821211		fulltext		New York University Press	monograph	2014	2014						P	880878013
Abstractionist Aesthetics		9781479808878							https://www.degruyter.com/openurl?genre=book&isbn=9781479808878	Harper	9781479808878		fulltext		New York University Press	monograph	2015	2015						P	926049141
Adolescence, Discrimination, and the Law		9781479833597							https://www.degruyter.com/openurl?genre=book&isbn=9781479833597	Levesque	9781479833597		fulltext		New York University Press	monograph	2015	2015						P	910556177
African & American		9780814789254							https://www.degruyter.com/openurl?genre=book&isbn=9780814789254	Halter	9780814789254		fulltext		New York University Press	monograph	2014	2014						P	884647776
After the Rebellion		9780814760611							https://www.degruyter.com/openurl?genre=book&isbn=9780814760611	Franklin	9780814760611		fulltext		New York University Press	monograph	2014	2014						P	880878123
Against Wind and Tide		9781479876693							https://www.degruyter.com/openurl?genre=book&isbn=9781479876693	Power-Greene	9781479876693		fulltext		New York University Press	monograph	2014	2014						P	884647819
Age in America		9781479840595							https://www.degruyter.com/openurl?genre=book&isbn=9781479840595		9781479840595		fulltext		New York University Press	monograph	2015	2015			Field			P	910934045
American Secularism		9781479833726							https://www.degruyter.com/openurl?genre=book&isbn=9781479833726	Baker	9781479833726		fulltext		New York University Press	monograph	2015	2015						P	915158479
America’s Safest City		9780814770306							https://www.degruyter.com/openurl?genre=book&isbn=9780814770306	Singer	9780814770306		fulltext		New York University Press	monograph	2014	2014						P	892844526
An Interpretation of the Qur'an		9781479869275							https://www.degruyter.com/openurl?genre=book&isbn=9781479869275		9781479869275		fulltext		New York University Press	monograph	2015	2015						P	960759209
An Unlikely Union		9781479873661							https://www.degruyter.com/openurl?genre=book&isbn=9781479873661	Moses	9781479873661		fulltext		New York University Press	monograph	2015	2015						P	911593898
Ancient Jewish Sciences and the History of Knowledge in Second Temple Literature		9781479873975							https://www.degruyter.com/openurl?genre=book&isbn=9781479873975	Sanders	9781479873975		fulltext		New York University Press	monograph	2014	2014						P	879576055
Angel Patriots		9781479809400							https://www.degruyter.com/openurl?genre=book&isbn=9781479809400	Riley	9781479809400		fulltext		New York University Press	monograph	2015	2015						P	951103596
At Home in Nineteenth-Century America		9780814769157							https://www.degruyter.com/openurl?genre=book&isbn=9780814769157	Richter	9780814769157		fulltext		New York University Press	monograph	2015	2015						P	903572814
Aztlán and Arcadia		9781479854905							https://www.degruyter.com/openurl?genre=book&isbn=9781479854905	Sagarena	9781479854905		fulltext		New York University Press	monograph	2014	2014						P	894544594
Beyond Deportation		9781479807543							https://www.degruyter.com/openurl?genre=book&isbn=9781479807543	Wadhia	9781479807543		fulltext		New York University Press	monograph	2015	2015						P	908512585
Black Mosaic		9781479811113							https://www.degruyter.com/openurl?genre=book&isbn=9781479811113	Smith	9781479811113		fulltext		New York University Press	monograph	2014	2014						P	893439511
Books That Cook		9781479838424							https://www.degruyter.com/openurl?genre=book&isbn=9781479838424	Goldthwaite	9781479838424		fulltext		New York University Press	monograph	2014	2014						P	884647820
Border Medicine		9781479843015							https://www.degruyter.com/openurl?genre=book&isbn=9781479843015	Hendrickson	9781479843015		fulltext		New York University Press	monograph	2014	2014						P	894554168
Border Politics		9781479806799							https://www.degruyter.com/openurl?genre=book&isbn=9781479806799		9781479806799		fulltext		New York University Press	monograph	2014	2014			Naples			P	893439520
Brooklyn's Promised Land		9780814725283							https://www.degruyter.com/openurl?genre=book&isbn=9780814725283	Wellman	9780814725283		fulltext		New York University Press	monograph	2014	2014						P	893439485
Cable Guys		9781479800124							https://www.degruyter.com/openurl?genre=book&isbn=9781479800124	Lotz	9781479800124		fulltext		New York University Press	monograph	2014	2014						P	871258016
Caribbean Crossing		9780814760086							https://www.degruyter.com/openurl?genre=book&isbn=9780814760086	Fanning	9780814760086		fulltext		New York University Press	monograph	2015	2015						P	1047918970
Caring Across Generations		9780814771983							https://www.degruyter.com/openurl?genre=book&isbn=9780814771983	Yoo	9780814771983		fulltext		New York University Press	monograph	2014	2014						P	881183547
Chained to the Desk (Third Edition)		9780814770696							https://www.degruyter.com/openurl?genre=book&isbn=9780814770696	Robinson	9780814770696		fulltext		New York University Press	monograph	2014	2014		3. ed.				P	1158165928
Changing Faith		9780814741283							https://www.degruyter.com/openurl?genre=book&isbn=9780814741283	Sherkat	9780814741283		fulltext		New York University Press	monograph	2014	2014						P	884647833
Childhood Deployed		9780814760192							https://www.degruyter.com/openurl?genre=book&isbn=9780814760192	Shepler	9780814760192		fulltext		New York University Press	monograph	2014	2014						P	879948896
