PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Pledge with Purpose		9781479859634							https://www.degruyter.com/openurl?genre=book&isbn=9781479859634	Hughey	9781479859634		fulltext		New York University Press	monograph	2020	2020						P	1147261636
A Queer New York		9781479891672							https://www.degruyter.com/openurl?genre=book&isbn=9781479891672	Gieseking	9781479891672		fulltext		New York University Press	monograph	2020	2020						P	1224278150
Adverse Events		9781479861439							https://www.degruyter.com/openurl?genre=book&isbn=9781479861439	Fisher	9781479861439		fulltext		New York University Press	monograph	2020	2020						P	1165364935
Arabian Romantic		9781479804429							https://www.degruyter.com/openurl?genre=book&isbn=9781479804429	Sbayyil	9781479804429		fulltext		New York University Press	monograph	2020	2020						P	1152457106
Arabian Satire		9781479846764							https://www.degruyter.com/openurl?genre=book&isbn=9781479846764		9781479846764		fulltext		New York University Press	monograph	2020	2020						P	1198929948
Becoming Human		9781479834556							https://www.degruyter.com/openurl?genre=book&isbn=9781479834556	Jackson	9781479834556		fulltext		New York University Press	monograph	2020	2020						P	1198924535
Beyond Recidivism		9781479877775							https://www.degruyter.com/openurl?genre=book&isbn=9781479877775		9781479877775		fulltext		New York University Press	monograph	2020	2020			Christian			P	1197980371
Book of Charlatans, The		9781479869442							https://www.degruyter.com/openurl?genre=book&isbn=9781479869442		9781479869442		fulltext		New York University Press	monograph	2020	2020						P	1157349833
Camming		9781479829422							https://www.degruyter.com/openurl?genre=book&isbn=9781479829422	Jones	9781479829422		fulltext		New York University Press	monograph	2020	2020						P	1229162063
Catholic Activism Today		9781479821419							https://www.degruyter.com/openurl?genre=book&isbn=9781479821419	Day	9781479821419		fulltext		New York University Press	monograph	2020	2020						P	1198924548
Changing Qatar		9781479809547							https://www.degruyter.com/openurl?genre=book&isbn=9781479809547	Harkness	9781479809547		fulltext		New York University Press	monograph	2020	2020						P	1158224367
Clipped Wings		9781479805792							https://www.degruyter.com/openurl?genre=book&isbn=9781479805792	Merryman	9781479805792		fulltext		New York University Press	monograph	2020	2020						P	1183958674
Comics and Stuff		9781479831258							https://www.degruyter.com/openurl?genre=book&isbn=9781479831258	Jenkins	9781479831258		fulltext		New York University Press	monograph	2020	2020						P	1147276494
Coming of Age in Iran		9781479806867							https://www.degruyter.com/openurl?genre=book&isbn=9781479806867	Hashemi	9781479806867		fulltext		New York University Press	monograph	2020	2020						P	1151200297
Cops, Cameras, and Crisis		9781479865864							https://www.degruyter.com/openurl?genre=book&isbn=9781479865864	White	9781479865864		fulltext		New York University Press	monograph	2020	2021						P	
Creating the Creation Museum		9781479897520							https://www.degruyter.com/openurl?genre=book&isbn=9781479897520	Oberlin	9781479897520		fulltext		New York University Press	monograph	2020	2020						P	1229161840
Democratic Failure		9781479804801							https://www.degruyter.com/openurl?genre=book&isbn=9781479804801		9781479804801		fulltext		New York University Press	monograph	2020	2021			Viehoff			P	1243310582
Digital City, The		9781479829101							https://www.degruyter.com/openurl?genre=book&isbn=9781479829101	Halegoua	9781479829101		fulltext		New York University Press	monograph	2020	2020						P	1196175503
