PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Brief History of the Artist from God to Picasso		9780271051154							https://www.degruyter.com/openurl?genre=book&isbn=9780271051154	Barolsky	9780271051154		fulltext		Penn State University Press	monograph	2010	2021						P	
A Canonical Exegesis of the Eighth Psalm		9781575068701							https://www.degruyter.com/openurl?genre=book&isbn=9781575068701	Keener	9781575068701		fulltext		Penn State University Press	monograph	2013	2021						P	1253314255
A Civil Tongue		9780271071633							https://www.degruyter.com/openurl?genre=book&isbn=9780271071633	Kingwell	9780271071633		fulltext		Penn State University Press	monograph	1995	2021						P	
A Companion to Michael Oakeshott		9780271060170							https://www.degruyter.com/openurl?genre=book&isbn=9780271060170		9780271060170		fulltext		Penn State University Press	monograph	2012	2021			Franco			P	1253314115
A Cultivated Reason		9780271076263							https://www.degruyter.com/openurl?genre=book&isbn=9780271076263	Williams	9780271076263		fulltext		Penn State University Press	monograph	1998	2021						P	
A God So Near		9781575065366							https://www.degruyter.com/openurl?genre=book&isbn=9781575065366		9781575065366		fulltext		Penn State University Press	monograph	2003	2021			Bowen			P	
A Grammar of the Hittite Language		9781575065939							https://www.degruyter.com/openurl?genre=book&isbn=9781575065939	Hoffner Jr.	9781575065939		fulltext		Penn State University Press	monograph	2008	2022						P	
A Grammar of the Hittite Language		9781575065731							https://www.degruyter.com/openurl?genre=book&isbn=9781575065731	Hoffner Jr.	9781575065731		fulltext		Penn State University Press	monograph	2008	2022						P	
A Handbook on Isaiah		9781575065113							https://www.degruyter.com/openurl?genre=book&isbn=9781575065113	de Waard	9781575065113		fulltext		Penn State University Press	monograph	1997	2021						P	
A Handbook on Jeremiah		9781575065311							https://www.degruyter.com/openurl?genre=book&isbn=9781575065311	de Waard	9781575065311		fulltext		Penn State University Press	monograph	2003	2021						P	
A History of Argentina in the Twentieth Century		9780271064093							https://www.degruyter.com/openurl?genre=book&isbn=9780271064093	Romero	9780271064093		fulltext		Penn State University Press	monograph	2013	2021						P	1253313812
A History of Argentina in the Twentieth Century		9780271030593							https://www.degruyter.com/openurl?genre=book&isbn=9780271030593		9780271030593		fulltext		Penn State University Press	monograph	2002	2021						P	
A Manual of Ugaritic		9781575066523							https://www.degruyter.com/openurl?genre=book&isbn=9781575066523	Pardee	9781575066523		fulltext		Penn State University Press	monograph	2009	2021						P	
A Matter of Simple Justice		9780271074030							https://www.degruyter.com/openurl?genre=book&isbn=9780271074030	Stout	9780271074030		fulltext		Penn State University Press	monograph	2012	2021						P	1253313783
A More Perfect Torah		9781575068534							https://www.degruyter.com/openurl?genre=book&isbn=9781575068534	Levinson	9781575068534		fulltext		Penn State University Press	monograph	2013	2021						P	1253313333
A Peculiar Mixture		9780271063003							https://www.degruyter.com/openurl?genre=book&isbn=9780271063003		9780271063003		fulltext		Penn State University Press	monograph	2013	2021			Stievermann			P	1253313708
A Rhetorical Conversation		9780271078144							https://www.degruyter.com/openurl?genre=book&isbn=9780271078144	Finkin	9780271078144		fulltext		Penn State University Press	monograph	2010	2021						P	
A Severe Mercy		9781575066844							https://www.degruyter.com/openurl?genre=book&isbn=9781575066844	Boda	9781575066844		fulltext		Penn State University Press	monograph	2009	2021						P	
A Spiritual Home		9780271031057							https://www.degruyter.com/openurl?genre=book&isbn=9780271031057	Cashdollar	9780271031057		fulltext		Penn State University Press	monograph	2000	2021						P	
A World Art History and Its Objects		9780271036069							https://www.degruyter.com/openurl?genre=book&isbn=9780271036069	Carrier	9780271036069		fulltext		Penn State University Press	monograph	2008	2021						P	
According to the Law		9781575066875							https://www.degruyter.com/openurl?genre=book&isbn=9781575066875	Saysell	9781575066875		fulltext		Penn State University Press	monograph	2012	2021						P	
Activist Faith		9780271033136							https://www.degruyter.com/openurl?genre=book&isbn=9780271033136	Drogus	9780271033136		fulltext		Penn State University Press	monograph	2005	2021						P	
Adapa and the South Wind		9781575065243							https://www.degruyter.com/openurl?genre=book&isbn=9781575065243	Izre'el	9781575065243		fulltext		Penn State University Press	monograph	2001	2021						P	
Adventures in Paradox		9780271072234							https://www.degruyter.com/openurl?genre=book&isbn=9780271072234	Presberg	9780271072234		fulltext		Penn State University Press	monograph	2000	2022						P	
After the Fall		9780271072562							https://www.degruyter.com/openurl?genre=book&isbn=9780271072562	Donovan	9780271072562		fulltext		Penn State University Press	monograph	1989	2021						P	
Aging Across the United States		9780271056708							https://www.degruyter.com/openurl?genre=book&isbn=9780271056708	Giles-Sims	9780271056708		fulltext		Penn State University Press	monograph	2010	2021						P	1253313892
Alchemical Belief		9780271078038							https://www.degruyter.com/openurl?genre=book&isbn=9780271078038	Janacek	9780271078038		fulltext		Penn State University Press	monograph	2011	2021						P	
Alcohol, Violence, and Disorder in Traditional Europe		9780271091013							https://www.degruyter.com/openurl?genre=book&isbn=9780271091013	Martin	9780271091013		fulltext		Penn State University Press	monograph	2009	2021						P	
All the Boundaries of the Land		9781575068688							https://www.degruyter.com/openurl?genre=book&isbn=9781575068688	Wazana	9781575068688		fulltext		Penn State University Press	monograph	2013	2021						P	1253313863
American Guestworkers		9780271032856							https://www.degruyter.com/openurl?genre=book&isbn=9780271032856	Griffith	9780271032856		fulltext		Penn State University Press	monograph	2006	2021						P	
American Immigration After 1996		9780271056845							https://www.degruyter.com/openurl?genre=book&isbn=9780271056845	Arnold	9780271056845		fulltext		Penn State University Press	monograph	2011	2021						P	1253312798
American Trajectories		9780271076782							https://www.degruyter.com/openurl?genre=book&isbn=9780271076782	Berthoff	9780271076782		fulltext		Penn State University Press	monograph	1994	2021						P	
America's New Working Class		9780271048994							https://www.degruyter.com/openurl?genre=book&isbn=9780271048994	Arnold	9780271048994		fulltext		Penn State University Press	monograph	2007	2021						P	
America's Strategic Blunders		9780271023731							https://www.degruyter.com/openurl?genre=book&isbn=9780271023731	Matthias	9780271023731		fulltext		Penn State University Press	monograph	2001	2021						P	
An Entrenched Legacy		9780271035000							https://www.degruyter.com/openurl?genre=book&isbn=9780271035000	Garry	9780271035000		fulltext		Penn State University Press	monograph	2008	2021						P	1253313772
Ancient Israel and Its Neighbors		9781575065656							https://www.degruyter.com/openurl?genre=book&isbn=9781575065656	Na'aman	9781575065656		fulltext		Penn State University Press	monograph	2006	2021						P	
Ancient Israel's History and Historiography		9781575065694							https://www.degruyter.com/openurl?genre=book&isbn=9781575065694	Na'aman	9781575065694		fulltext		Penn State University Press	monograph	2006	2021						P	
Antebellum American Culture		9780271075372							https://www.degruyter.com/openurl?genre=book&isbn=9780271075372	Davis	9780271075372		fulltext		Penn State University Press	monograph	1997	2021						P	
Appeals to Interest		9780271072173							https://www.degruyter.com/openurl?genre=book&isbn=9780271072173	Mathiowetz	9780271072173		fulltext		Penn State University Press	monograph	2011	2021						P	1253313345
Archaeology, Bible, Politics, and the Media		9781575066820							https://www.degruyter.com/openurl?genre=book&isbn=9781575066820		9781575066820		fulltext		Penn State University Press	monograph	2012	2021			Meyers			P	
Argentina's Radical Party and Popular Mobilization, 1916–1930		9780271036045							https://www.degruyter.com/openurl?genre=book&isbn=9780271036045	Horowitz	9780271036045		fulltext		Penn State University Press	monograph	2008	2021						P	
Art and Globalization		9780271072258							https://www.degruyter.com/openurl?genre=book&isbn=9780271072258		9780271072258		fulltext		Penn State University Press	monograph	2010	2021			Elkins			P	
Artworks		9780271071756							https://www.degruyter.com/openurl?genre=book&isbn=9780271071756	Stecker	9780271071756		fulltext		Penn State University Press	monograph	1996	2021						P	
Ayn Rand		9780271061214							https://www.degruyter.com/openurl?genre=book&isbn=9780271061214	Sciabarra	9780271061214		fulltext		Penn State University Press	monograph	2013	2021						P	1253313942
Bâb edh-Dhrâ': Excavations at the Town Site (1975–1981), 2 part set		9781575065496							https://www.degruyter.com/openurl?genre=book&isbn=9781575065496	Schaub	9781575065496		fulltext		Penn State University Press	monograph	2003	2021						P	
Babel und Bibel 3		9781575065823							https://www.degruyter.com/openurl?genre=book&isbn=9781575065823		9781575065823		fulltext		Penn State University Press	monograph	2006	2021			Loesov			P	
Babel und Bibel 6		9781575066653							https://www.degruyter.com/openurl?genre=book&isbn=9781575066653		9781575066653		fulltext		Penn State University Press	monograph	2012	2021			Tishchenko			P	
Babylonian Creation Myths		9781575068619							https://www.degruyter.com/openurl?genre=book&isbn=9781575068619	Lambert	9781575068619		fulltext		Penn State University Press	monograph	2013	2021						P	1253313501
Bankrupt Representation and Party System Collapse		9780271072289							https://www.degruyter.com/openurl?genre=book&isbn=9780271072289	Morgan	9780271072289		fulltext		Penn State University Press	monograph	2012	2021						P	
