PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Century of Genocide		9781400866229							https://www.degruyter.com/openurl?genre=book&isbn=9781400866229		9781400866229		fulltext		Princeton University Press	monograph	2015	2015		Updated  edition with a New preface by the author				P	984641862
A Class by Herself		9781400866366							https://www.degruyter.com/openurl?genre=book&isbn=9781400866366	Woloch	9781400866366		fulltext		Princeton University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	984686926
A Field Guide to the Larger Mammals of Tanzania		9781400852802							https://www.degruyter.com/openurl?genre=book&isbn=9781400852802	Durant	9781400852802		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	979579875
A History of Jewish-Muslim Relations		9781400849130							https://www.degruyter.com/openurl?genre=book&isbn=9781400849130		9781400849130		fulltext		Princeton University Press	monograph	2014	2013		Course Book	Stora			P	979970361
A Public Empire		9781400850266							https://www.degruyter.com/openurl?genre=book&isbn=9781400850266	Pravilova	9781400850266		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	979755452
A Social Strategy		9781400850020							https://www.degruyter.com/openurl?genre=book&isbn=9781400850020	Piskorski	9781400850020		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	984686904
A Sparrowhawk's Lament		9781400850211							https://www.degruyter.com/openurl?genre=book&isbn=9781400850211		9781400850211		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	999369594
A World without Why		9781400848485							https://www.degruyter.com/openurl?genre=book&isbn=9781400848485	Geuss	9781400848485		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	984650841
Aboutness		9781400845989							https://www.degruyter.com/openurl?genre=book&isbn=9781400845989	Yablo	9781400845989		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	979881798
Action-minimizing Methods in Hamiltonian Dynamics (MN-50)		9781400866618							https://www.degruyter.com/openurl?genre=book&isbn=9781400866618	Sorrentino	9781400866618		fulltext		Princeton University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	979630235
Advances in Analysis		9781400848935							https://www.degruyter.com/openurl?genre=book&isbn=9781400848935	Wainger	9781400848935		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	979578018
After Hegel		9781400852536							https://www.degruyter.com/openurl?genre=book&isbn=9781400852536	Beiser	9781400852536		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	984687746
After the End of Art		9780691209302							https://www.degruyter.com/openurl?genre=book&isbn=9780691209302	Danto	9780691209302		fulltext		Princeton University Press	monograph	2015	2021						P	
Against Security		9781400852338							https://www.degruyter.com/openurl?genre=book&isbn=9781400852338		9781400852338		fulltext		Princeton University Press	monograph	2014	2014		Updated  edition with a New Preface				P	979759043
Agent_Zero		9781400848256							https://www.degruyter.com/openurl?genre=book&isbn=9781400848256	Epstein	9781400848256		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	979881840
Alan Turing: The Enigma		9781400865123							https://www.degruyter.com/openurl?genre=book&isbn=9781400865123		9781400865123		fulltext		Princeton University Press	monograph	2015	2014		Updated  edition with a New preface by the author				P	984688067
Albert Einstein, The Human Side		9781400848126							https://www.degruyter.com/openurl?genre=book&isbn=9781400848126		9781400848126		fulltext		Princeton University Press	monograph	2014	2013		With a New foreword by Ze’ev Rosenkranz	Hoffmann			P	979881838
Alice's Adventures in Wonderland		9781400874262							https://www.degruyter.com/openurl?genre=book&isbn=9781400874262	Carroll	9781400874262		fulltext		Princeton University Press	monograph	2016	2015		150th Anniversary				P	984664855
America in the World		9781400851454							https://www.degruyter.com/openurl?genre=book&isbn=9781400851454		9781400851454		fulltext		Princeton University Press	monograph	2014	2014		Course Book	Engel			P	984657299
American Big Business in Britain and Germany		9781400850297							https://www.degruyter.com/openurl?genre=book&isbn=9781400850297	Berghahn	9781400850297		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	984647647
American Insecurity		9781400852130							https://www.degruyter.com/openurl?genre=book&isbn=9781400852130	Levine	9781400852130		fulltext		Princeton University Press	monograph	2015	2015		Course Book				P	984688367
American Pulp		9781400865291							https://www.degruyter.com/openurl?genre=book&isbn=9781400865291	Rabinowitz	9781400865291		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	984652166
American Zoo		9781400873616							https://www.degruyter.com/openurl?genre=book&isbn=9781400873616	Grazian	9781400873616		fulltext		Princeton University Press	monograph	2018	2015		Pilot project,eBook available to selected US libraries only				P	984546878
An Introduction to Benford's Law		9781400866588							https://www.degruyter.com/openurl?genre=book&isbn=9781400866588	Hill	9781400866588		fulltext		Princeton University Press	monograph	2015	2015		Course Book				P	984634342
Analytic Philosophy in America		9781400850464							https://www.degruyter.com/openurl?genre=book&isbn=9781400850464	Soames	9781400850464		fulltext		Princeton University Press	monograph	2014	2014		Core Textbook				P	979686258
Analytical Psychology in Exile		9781400865918							https://www.degruyter.com/openurl?genre=book&isbn=9781400865918	Jung	9781400865918		fulltext		Princeton University Press	monograph	2015	2015		Course Book				P	984688248
Ancient Religions, Modern Politics		9781400850273							https://www.degruyter.com/openurl?genre=book&isbn=9781400850273	Cook	9781400850273		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	984663669
Animals of the Serengeti		9781400851386							https://www.degruyter.com/openurl?genre=book&isbn=9781400851386	Kennedy	9781400851386		fulltext		Princeton University Press	monograph	2014	2014		Course Book				P	922639044
Aristotle's Ethics		9781400852369							https://www.degruyter.com/openurl?genre=book&isbn=9781400852369	Aristotle	9781400852369		fulltext		Princeton University Press	monograph	2014	2014		Revised				P	984658188
