PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A History of the ‘Alawis		9781400883028							https://www.degruyter.com/openurl?genre=book&isbn=9781400883028	Winter	9781400883028		fulltext		Princeton University Press	monograph	2017	2016						P	984663734
A Place at the Altar		9781400883035							https://www.degruyter.com/openurl?genre=book&isbn=9781400883035	DiLuzio	9781400883035		fulltext		Princeton University Press	monograph	2017	2016						P	995512508
Adam Smith		9781400873487							https://www.degruyter.com/openurl?genre=book&isbn=9781400873487		9781400873487		fulltext		Princeton University Press	monograph	2016	2016			Hanley			P	930489581
Affordable Housing in New York		9780691207056							https://www.degruyter.com/openurl?genre=book&isbn=9780691207056		9780691207056		fulltext		Princeton University Press	monograph	2016	2019			Bloom			P	1143819750
After One-Hundred-and-Twenty		9781400880461							https://www.degruyter.com/openurl?genre=book&isbn=9781400880461	Halkin	9781400880461		fulltext		Princeton University Press	monograph	2016	2016						P	984546972
Against Democracy		9781400888399							https://www.degruyter.com/openurl?genre=book&isbn=9781400888399		9781400888399		fulltext		Princeton University Press	monograph	2016	2017						P	1076450415
American Jesuits and the World		9781400882847							https://www.degruyter.com/openurl?genre=book&isbn=9781400882847	McGreevy	9781400882847		fulltext		Princeton University Press	monograph	2016	2016						P	984614588
American Justice 2015		9780812292275							https://www.degruyter.com/openurl?genre=book&isbn=9780812292275	Mazie	9780812292275		fulltext		University of Pennsylvania Press	monograph	2016	2020						P	952799252
American Prophets		9781400874408							https://www.degruyter.com/openurl?genre=book&isbn=9781400874408	Raboteau	9781400874408		fulltext		Princeton University Press	monograph	2017	2016						P	984546880
An Age of Risk		9781400883011							https://www.degruyter.com/openurl?genre=book&isbn=9781400883011	Nacol	9781400883011		fulltext		Princeton University Press	monograph	2017	2016						P	984549969
An Einstein Encyclopedia		9781400873364							https://www.degruyter.com/openurl?genre=book&isbn=9781400873364	Calaprice	9781400873364		fulltext		Princeton University Press	monograph	2016	2015		Pilot project,eBook available to selected US libraries only				P	984682914
