PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Dream of Resistance		9780813592398							https://www.degruyter.com/openurl?genre=book&isbn=9780813592398	Prince	9780813592398		fulltext		Rutgers University Press	monograph	2017	2017						P	1075397874
A Rhetorical Crime		9780813594699							https://www.degruyter.com/openurl?genre=book&isbn=9780813594699		9780813594699		fulltext		Rutgers University Press	monograph	2018	2018						P	1031374129
A Short History of Film, Third Edition		9780813595160							https://www.degruyter.com/openurl?genre=book&isbn=9780813595160	Foster	9780813595160		fulltext		Rutgers University Press	monograph	2018	2018						P	1121054726
Adventures in Shondaland		9780813596358							https://www.degruyter.com/openurl?genre=book&isbn=9780813596358		9780813596358		fulltext		Rutgers University Press	monograph	2018	2018						P	1121055427
At War		9780813584331							https://www.degruyter.com/openurl?genre=book&isbn=9780813584331		9780813584331		fulltext		Rutgers University Press	monograph	2018	2018			Kieran			P	1035389880
Becoming Transnational Youth Workers		9780813589831							https://www.degruyter.com/openurl?genre=book&isbn=9780813589831	Martinez	9780813589831		fulltext		Rutgers University Press	monograph	2018	2019						P	1105200193
Between Foreign and Family		9780813586168							https://www.degruyter.com/openurl?genre=book&isbn=9780813586168	Lee	9780813586168		fulltext		Rutgers University Press	monograph	2018	2018						P	1018457531
Beyond the City and the Bridge		9780813589046							https://www.degruyter.com/openurl?genre=book&isbn=9780813589046	Matsumoto	9780813589046		fulltext		Rutgers University Press	monograph	2018	2018						P	1078551698
Child Survivors of the Holocaust		9780813584997							https://www.degruyter.com/openurl?genre=book&isbn=9780813584997	Cohen	9780813584997		fulltext		Rutgers University Press	monograph	2018	2018						P	1028552856
Children and Drug Safety		9780813563893							https://www.degruyter.com/openurl?genre=book&isbn=9780813563893	Connolly	9780813563893		fulltext		Rutgers University Press	monograph	2018	2018						F	986523837
Comic Book Movies		9780813588797							https://www.degruyter.com/openurl?genre=book&isbn=9780813588797	Davis	9780813588797		fulltext		Rutgers University Press	monograph	2018	2018						P	1019837379
Constituting Central American–Americans		9780813592862							https://www.degruyter.com/openurl?genre=book&isbn=9780813592862	Cárdenas	9780813592862		fulltext		Rutgers University Press	monograph	2018	2018						P	1040694636
