PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bahian Counterpoint		9780804765541							https://www.degruyter.com/openurl?genre=book&isbn=9780804765541	Barickman	9780804765541		fulltext		Stanford University Press	monograph	1998	2022						P	
A Child Is Being Killed		9781503617018							https://www.degruyter.com/openurl?genre=book&isbn=9781503617018	Leclaire	9781503617018		fulltext		Stanford University Press	monograph	1998	2022						P	
A Communitarian Defense of Liberalism		9780804780810							https://www.degruyter.com/openurl?genre=book&isbn=9780804780810	Cladis	9780804780810		fulltext		Stanford University Press	monograph	1992	2022						P	
A Genealogy of the Modern Self		9780804780766							https://www.degruyter.com/openurl?genre=book&isbn=9780804780766	Clej	9780804780766		fulltext		Stanford University Press	monograph	1995	1995						P	1178770043
A General Theory of Crime		9781503621794							https://www.degruyter.com/openurl?genre=book&isbn=9781503621794	Gottfredson	9781503621794		fulltext		Stanford University Press	monograph	1990	2022						P	
A Guide to the World’s Languages		9781503621336							https://www.degruyter.com/openurl?genre=book&isbn=9781503621336	Ruhlen	9781503621336		fulltext		Stanford University Press	monograph	1987	2021						P	
A History of Japan to 1334		9781503621145							https://www.degruyter.com/openurl?genre=book&isbn=9781503621145	Sansom	9781503621145		fulltext		Stanford University Press	monograph	1958	2022						P	
A History of Japan, 1334-1615		9781503621152							https://www.degruyter.com/openurl?genre=book&isbn=9781503621152	Sansom	9781503621152		fulltext		Stanford University Press	monograph	1961	2022						P	
A History of Japan, 1615-1867		9781503621169							https://www.degruyter.com/openurl?genre=book&isbn=9781503621169	Sansom	9781503621169		fulltext		Stanford University Press	monograph	1963	2021						P	
A History of Madness in Sixteenth-Century Germany		9781503617476							https://www.degruyter.com/openurl?genre=book&isbn=9781503617476	Midelfort	9781503617476		fulltext		Stanford University Press	monograph	1999	2022						P	
A History of Russian Thought from the Enlightenment to Marxism		9781503621244							https://www.degruyter.com/openurl?genre=book&isbn=9781503621244	Walicki	9781503621244		fulltext		Stanford University Press	monograph	1979	2022						P	
A History of the Byzantine State and Society		9780804779371							https://www.degruyter.com/openurl?genre=book&isbn=9780804779371	Treadgold	9780804779371		fulltext		Stanford University Press	monograph	1997	2022						P	
A Home Divided		9780804765824							https://www.degruyter.com/openurl?genre=book&isbn=9780804765824		9780804765824		fulltext		Stanford University Press	monograph	1988	2022			Dwyer			P	
A Mission to Civilize		9780804765039							https://www.degruyter.com/openurl?genre=book&isbn=9780804765039	Conklin	9780804765039		fulltext		Stanford University Press	monograph	1997	2022						P	
A Preponderance of Power		9781503621930							https://www.degruyter.com/openurl?genre=book&isbn=9781503621930	Leffler	9781503621930		fulltext		Stanford University Press	monograph	1992	2022						P	
A Prophet Reads Scripture		9780804765237							https://www.degruyter.com/openurl?genre=book&isbn=9780804765237	Sommer	9780804765237		fulltext		Stanford University Press	monograph	1998	2022						P	
A Radical Worker in Tsarist Russia		9781503620889							https://www.degruyter.com/openurl?genre=book&isbn=9781503620889		9781503620889		fulltext		Stanford University Press	monograph	1986	2022						P	
A Sense for the Other		9781503616714							https://www.degruyter.com/openurl?genre=book&isbn=9781503616714	Augé	9781503616714		fulltext		Stanford University Press	monograph	1998	2022						P	
A Theory of Cognitive Dissonance		9781503620766							https://www.degruyter.com/openurl?genre=book&isbn=9781503620766	Festinger	9781503620766		fulltext		Stanford University Press	monograph	1957	2022						P	
A Thrice-Told Tale		9780804788243							https://www.degruyter.com/openurl?genre=book&isbn=9780804788243	Wolf	9780804788243		fulltext		Stanford University Press	monograph	1992	1992						P	1178769035
Abolishing Death		9780804766425							https://www.degruyter.com/openurl?genre=book&isbn=9780804766425	Masing-Delic	9780804766425		fulltext		Stanford University Press	monograph	1992	2022						P	
Ad Infinitum... The Ghost in Turing's Machine		9781503622135							https://www.degruyter.com/openurl?genre=book&isbn=9781503622135	Rotman	9781503622135		fulltext		Stanford University Press	monograph	1993	2022						P	
Adieu to Emmanuel Levinas		9781503617346							https://www.degruyter.com/openurl?genre=book&isbn=9781503617346	Derrida	9781503617346		fulltext		Stanford University Press	monograph	1999	2022						P	
After the Propaganda State		9780804780018							https://www.degruyter.com/openurl?genre=book&isbn=9780804780018	Lynch	9780804780018		fulltext		Stanford University Press	monograph	1999	2022						P	
Afterlives of the Saints		9781503616066							https://www.degruyter.com/openurl?genre=book&isbn=9781503616066	Lupton	9781503616066		fulltext		Stanford University Press	monograph	1996	2022						P	
Alexander Pushkin		9781503620964							https://www.degruyter.com/openurl?genre=book&isbn=9781503620964		9781503620964		fulltext		Stanford University Press	monograph	1983	2022						P	
Allegories of the Purge		9780804765268							https://www.degruyter.com/openurl?genre=book&isbn=9780804765268	Wat	9780804765268		fulltext		Stanford University Press	monograph	1998	2022						P	
Allende - A Novel		9780804743655							https://www.degruyter.com/openurl?genre=book&isbn=9780804743655	Alegría	9780804743655		fulltext		Stanford University Press	monograph	1993	2022						P	
American Economic Development in Historical Perspective		9780804766166							https://www.degruyter.com/openurl?genre=book&isbn=9780804766166		9780804766166		fulltext		Stanford University Press	monograph	1994	2022			Weiss			P	
American Images of China, 1931-1949		9781503615939							https://www.degruyter.com/openurl?genre=book&isbn=9781503615939	Jespersen	9781503615939		fulltext		Stanford University Press	monograph	1996	2022						P	
