PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Childhood Memory by Piero della Francesca		9781503617742							https://www.degruyter.com/openurl?genre=book&isbn=9781503617742	Damisch	9781503617742		fulltext		Stanford University Press	monograph	2007	2022						P	
A City Consumed		9780804782661							https://www.degruyter.com/openurl?genre=book&isbn=9780804782661	Reynolds	9780804782661		fulltext		Stanford University Press	monograph	2012	2012						P	1178768933
A Community under Siege		9781503626270							https://www.degruyter.com/openurl?genre=book&isbn=9781503626270	Ascher	9781503626270		fulltext		Stanford University Press	monograph	2007	2022						P	
A Covenant of Creatures		9780804774680							https://www.degruyter.com/openurl?genre=book&isbn=9780804774680	Fagenblat	9780804774680		fulltext		Stanford University Press	monograph	2010	2010						P	1178769361
A Fallen Idol Is Still a God		9780804768030							https://www.degruyter.com/openurl?genre=book&isbn=9780804768030	Allen	9780804768030		fulltext		Stanford University Press	monograph	2007	2022						P	
A Frenchwoman's Imperial Story		9780804787246							https://www.degruyter.com/openurl?genre=book&isbn=9780804787246	Rogers	9780804787246		fulltext		Stanford University Press	monograph	2013	2013						P	1178769959
A Goy Who Speaks Yiddish		9780804782821							https://www.degruyter.com/openurl?genre=book&isbn=9780804782821	Elyada	9780804782821		fulltext		Stanford University Press	monograph	2012	2012						P	1178769996
A Guide to the Zohar		9780804782913							https://www.degruyter.com/openurl?genre=book&isbn=9780804782913	Green	9780804782913		fulltext		Stanford University Press	monograph	2004	2022						P	
A Humanist Science		9780804779692							https://www.degruyter.com/openurl?genre=book&isbn=9780804779692	Selznick	9780804779692		fulltext		Stanford University Press	monograph	2008	2008						P	1178769248
A Jewish Life on Three Continents		9780804786201							https://www.degruyter.com/openurl?genre=book&isbn=9780804786201		9780804786201		fulltext		Stanford University Press	monograph	2013	2013						P	1178770204
A Jewish Voice from Ottoman Salonica		9780804781770							https://www.degruyter.com/openurl?genre=book&isbn=9780804781770		9780804781770		fulltext		Stanford University Press	monograph	2012	2012			Rodrigue			P	1178769793
A Leadership for Peace		9781503626133							https://www.degruyter.com/openurl?genre=book&isbn=9781503626133	Rotberg	9781503626133		fulltext		Stanford University Press	monograph	2007	2022						P	
A Life in Shadow		9780804774277							https://www.degruyter.com/openurl?genre=book&isbn=9780804774277	Bell	9780804774277		fulltext		Stanford University Press	monograph	2010	2010						P	1178769645
A Nation-State by Construction		9781503624498							https://www.degruyter.com/openurl?genre=book&isbn=9781503624498	Zhao	9781503624498		fulltext		Stanford University Press	monograph	2004	2022						P	
A New Chronology of Venetian Opera and Related Genres, 1660-1760		9781503619975							https://www.degruyter.com/openurl?genre=book&isbn=9781503619975	Selfridge-Field	9781503619975		fulltext		Stanford University Press	monograph	2007	2022						P	
A New Era in U.S. Health Care		9780804787239							https://www.degruyter.com/openurl?genre=book&isbn=9780804787239	Davidson	9780804787239		fulltext		Stanford University Press	monograph	2013	2013						P	1178769324
A Place in History		9781503624863							https://www.degruyter.com/openurl?genre=book&isbn=9781503624863	Mann	9781503624863		fulltext		Stanford University Press	monograph	2006	2022						P	
A Political History of National Citizenship and Identity in Italy, 1861–1950		9780804787338							https://www.degruyter.com/openurl?genre=book&isbn=9780804787338	Donati	9780804787338		fulltext		Stanford University Press	monograph	2013	2013						P	1178769987
