PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Practical Education		9781503603790							https://www.degruyter.com/openurl?genre=book&isbn=9781503603790	Stross	9781503603790		fulltext		Stanford University Press	monograph	2017	2018						P	1178769393
A Taste for Home		9781503601475							https://www.degruyter.com/openurl?genre=book&isbn=9781503601475	Abou-Hodeib	9781503601475		fulltext		Stanford University Press	monograph	2017	2017						P	1178769012
A World Trimmed with Fur		9781503600683							https://www.degruyter.com/openurl?genre=book&isbn=9781503600683	Schlesinger	9781503600683		fulltext		Stanford University Press	monograph	2017	2017						P	1178770325
Adcreep		9781503602182							https://www.degruyter.com/openurl?genre=book&isbn=9781503602182	Bartholomew	9781503602182		fulltext		Stanford University Press	monograph	2017	2017						P	1178769286
Advocacy and Policy Change Evaluation		9781503602335							https://www.degruyter.com/openurl?genre=book&isbn=9781503602335	Brindis	9781503602335		fulltext		Stanford University Press	monograph	2017	2017						P	1178769599
Ancestral Tales		9781503601864							https://www.degruyter.com/openurl?genre=book&isbn=9781503601864	Mintz	9781503601864		fulltext		Stanford University Press	monograph	2017	2017						P	1178769241
Anchor Babies and the Challenge of Birthright Citizenship		9781503605268							https://www.degruyter.com/openurl?genre=book&isbn=9781503605268	Chavez	9781503605268		fulltext		Stanford University Press	monograph	2017	2017						P	1178769631
Archaeology of Babel		9781503604049							https://www.degruyter.com/openurl?genre=book&isbn=9781503604049	Ahmed	9781503604049		fulltext		Stanford University Press	monograph	2017	2017						P	1178769151
Arresting Cinema		9781503600751							https://www.degruyter.com/openurl?genre=book&isbn=9781503600751	Fang	9781503600751		fulltext		Stanford University Press	monograph	2017	2017						P	1178769422
Aurangzeb		9781503602595							https://www.degruyter.com/openurl?genre=book&isbn=9781503602595	Truschke	9781503602595		fulltext		Stanford University Press	monograph	2017	2017						P	1178769794
Bad Rabbi		9781503603974							https://www.degruyter.com/openurl?genre=book&isbn=9781503603974	Portnoy	9781503603974		fulltext		Stanford University Press	monograph	2017	2017						P	1178768811
Ballot Blocked		9781503603530							https://www.degruyter.com/openurl?genre=book&isbn=9781503603530	Rhodes	9781503603530		fulltext		Stanford University Press	monograph	2017	2017						P	1178769508
Behind the Laughs		9781503602977							https://www.degruyter.com/openurl?genre=book&isbn=9781503602977	Jeffries	9781503602977		fulltext		Stanford University Press	monograph	2017	2017						P	1178769002
Bernie Madoff and the Crisis		9781503603066							https://www.degruyter.com/openurl?genre=book&isbn=9781503603066	Eren	9781503603066		fulltext		Stanford University Press	monograph	2017	2017						P	
Bound Feet, Young Hands		9781503601079							https://www.degruyter.com/openurl?genre=book&isbn=9781503601079	Gates	9781503601079		fulltext		Stanford University Press	monograph	2017	2017						P	1178769758
BRICS or Bust?		9781503604919							https://www.degruyter.com/openurl?genre=book&isbn=9781503604919	Babones	9781503604919		fulltext		Stanford University Press	monograph	2017	2017						P	1178769834
Broke and Patriotic		9781503603943							https://www.degruyter.com/openurl?genre=book&isbn=9781503603943	Duina	9781503603943		fulltext		Stanford University Press	monograph	2017	2018						P	1178769194
Brothers Apart		9781503603189							https://www.degruyter.com/openurl?genre=book&isbn=9781503603189	Nassar	9781503603189		fulltext		Stanford University Press	monograph	2017	2017						P	1178769430
Bureaucratic Intimacies		9781503603394							https://www.degruyter.com/openurl?genre=book&isbn=9781503603394	Babül	9781503603394		fulltext		Stanford University Press	monograph	2017	2017						P	1178769673
Campaigning for Children		9781503603042							https://www.degruyter.com/openurl?genre=book&isbn=9781503603042	Becker	9781503603042		fulltext		Stanford University Press	monograph	2017	2017						P	1178770087
Care Across Generations		9781503602953							https://www.degruyter.com/openurl?genre=book&isbn=9781503602953	Yarris	9781503602953		fulltext		Stanford University Press	monograph	2017	2017						P	1178769535
Choosing Daughters		9781503603004							https://www.degruyter.com/openurl?genre=book&isbn=9781503603004	Shi	9781503603004		fulltext		Stanford University Press	monograph	2017	2017						P	1178769960
Circles of Compensation		9781503602946							https://www.degruyter.com/openurl?genre=book&isbn=9781503602946	Calder	9781503602946		fulltext		Stanford University Press	monograph	2017	2017						P	1178769702
Contraband Corridor		9781503603998							https://www.degruyter.com/openurl?genre=book&isbn=9781503603998	Galemba	9781503603998		fulltext		Stanford University Press	monograph	2017	2017						P	1178769479
Culture and Commerce		9781503603080							https://www.degruyter.com/openurl?genre=book&isbn=9781503603080	Khaire	9781503603080		fulltext		Stanford University Press	monograph	2017	2017						P	1178769073
Cultures@SiliconValley		9781503602991							https://www.degruyter.com/openurl?genre=book&isbn=9781503602991	English-Lueck	9781503602991		fulltext		Stanford University Press	monograph	2017	2017		2. ed.				P	1178769444
Engine of Impact		9781503603622							https://www.degruyter.com/openurl?genre=book&isbn=9781503603622	Meehan	9781503603622		fulltext		Stanford University Press	monograph	2017	2017						P	1178769330
Fast/Forward		9781503602311							https://www.degruyter.com/openurl?genre=book&isbn=9781503602311	Ridderstråle	9781503602311		fulltext		Stanford University Press	monograph	2017	2017						P	1178769949
Figuring Korean Futures		9781503603110							https://www.degruyter.com/openurl?genre=book&isbn=9781503603110	Zur	9781503603110		fulltext		Stanford University Press	monograph	2017	2017						P	1178770260
Forgotten Disease		9781503603509							https://www.degruyter.com/openurl?genre=book&isbn=9781503603509	Smith	9781503603509		fulltext		Stanford University Press	monograph	2017	2017						P	1178769458
Georg Simmel and the Disciplinary Imaginary		9781503600744							https://www.degruyter.com/openurl?genre=book&isbn=9781503600744	Goodstein	9781503600744		fulltext		Stanford University Press	monograph	2017	2017						P	1178768920
Getting New Things Done		9781503603097							https://www.degruyter.com/openurl?genre=book&isbn=9781503603097	Obstfeld	9781503603097		fulltext		Stanford University Press	monograph	2017	2017						P	1178770032
Getting to "Yes And"		9781503600959							https://www.degruyter.com/openurl?genre=book&isbn=9781503600959		9781503600959		fulltext		Stanford University Press	monograph	2017	2017						P	1178770045
Hard Target		9781503601994							https://www.degruyter.com/openurl?genre=book&isbn=9781503601994	Haggard	9781503601994		fulltext		Stanford University Press	monograph	2017	2017						P	1178769496
Haunting History		9781503603424							https://www.degruyter.com/openurl?genre=book&isbn=9781503603424	Kleinberg	9781503603424		fulltext		Stanford University Press	monograph	2017	2017						P	1178769528
Holocaust Memory in the Digital Age		9781503602960							https://www.degruyter.com/openurl?genre=book&isbn=9781503602960	Shandler	9781503602960		fulltext		Stanford University Press	monograph	2017	2017						P	1178769183
Image and Presence		9781503604230							https://www.degruyter.com/openurl?genre=book&isbn=9781503604230	Carnes	9781503604230		fulltext		Stanford University Press	monograph	2017	2017						P	1178769109
Impossible Exodus		9781503602816							https://www.degruyter.com/openurl?genre=book&isbn=9781503602816	Bashkin	9781503602816		fulltext		Stanford University Press	monograph	2017	2017						P	1178769108
In Rome We Trust		9781503601833							https://www.degruyter.com/openurl?genre=book&isbn=9781503601833	Graziano	9781503601833		fulltext		Stanford University Press	monograph	2017	2017						P	1178769604
Innovation and Scaling for Impact		9781503600997							https://www.degruyter.com/openurl?genre=book&isbn=9781503600997	Seelos	9781503600997		fulltext		Stanford University Press	monograph	2017	2017						P	1178769522
Jinnealogy		9781503603950							https://www.degruyter.com/openurl?genre=book&isbn=9781503603950	Taneja	9781503603950		fulltext		Stanford University Press	monograph	2017	2017						P	1178769368
Judicial Independence and the American Constitution		9781503601840							https://www.degruyter.com/openurl?genre=book&isbn=9781503601840	Redish	9781503601840		fulltext		Stanford University Press	monograph	2017	2017						P	1178768808
Just Violence		9781503601024							https://www.degruyter.com/openurl?genre=book&isbn=9781503601024	Wahl	9781503601024		fulltext		Stanford University Press	monograph	2017	2017						P	1178769415
Khartoum at Night		9781503602687							https://www.degruyter.com/openurl?genre=book&isbn=9781503602687	Brown	9781503602687		fulltext		Stanford University Press	monograph	2017	2017						P	1178769044
Law Mart		9781503603028							https://www.degruyter.com/openurl?genre=book&isbn=9781503603028	Tejani	9781503603028		fulltext		Stanford University Press	monograph	2017	2017						P	1178770018
Literary Primitivism		9781503604094							https://www.degruyter.com/openurl?genre=book&isbn=9781503604094	Etherington	9781503604094		fulltext		Stanford University Press	monograph	2017	2017						P	1178769653
Living Emergency		9781503605299							https://www.degruyter.com/openurl?genre=book&isbn=9781503605299	Berda	9781503605299		fulltext		Stanford University Press	monograph	2017	2017						P	1178769369
Love As Human Freedom		9781503602328							https://www.degruyter.com/openurl?genre=book&isbn=9781503602328	Kottman	9781503602328		fulltext		Stanford University Press	monograph	2017	2017						P	1178770219
Luxurious Networks		9781503600799							https://www.degruyter.com/openurl?genre=book&isbn=9781503600799	Wu	9781503600799		fulltext		Stanford University Press	monograph	2017	2017						P	1178769716
Making Money		9781503604452							https://www.degruyter.com/openurl?genre=book&isbn=9781503604452	Cheng-shu	9781503604452		fulltext		Stanford University Press	monograph	2017	2017						P	1178769523
Mourning Remains		9781503602632							https://www.degruyter.com/openurl?genre=book&isbn=9781503602632	Rojas-Perez	9781503602632		fulltext		Stanford University Press	monograph	2017	2017						P	1178770127
National Matters		9781503602762							https://www.degruyter.com/openurl?genre=book&isbn=9781503602762		9781503602762		fulltext		Stanford University Press	monograph	2017	2017			Zubrzycki			P	1178768796
Newsworthy		9781503600836							https://www.degruyter.com/openurl?genre=book&isbn=9781503600836	Barbas	9781503600836		fulltext		Stanford University Press	monograph	2017	2017						P	1178768955
