PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Greek State in Formation		9780520387256							https://www.degruyter.com/openurl?genre=book&isbn=9780520387256	Davis	9780520387256		fulltext		University of California Press	monograph	2022	2022						F	
A People's Guide to New York City		9780520964150							https://www.degruyter.com/openurl?genre=book&isbn=9780520964150	Lewis	9780520964150		fulltext		University of California Press	monograph	2022	2022						P	
A People's Guide to Orange County		9780520971554							https://www.degruyter.com/openurl?genre=book&isbn=9780520971554	Lewinnek	9780520971554		fulltext		University of California Press	monograph	2022	2022						P	
A Place at the Nayarit		9780520385498							https://www.degruyter.com/openurl?genre=book&isbn=9780520385498	Molina	9780520385498		fulltext		University of California Press	monograph	2022	2022						P	
Academic Apartheid		9780520381384							https://www.degruyter.com/openurl?genre=book&isbn=9780520381384	Drake	9780520381384		fulltext		University of California Press	monograph	2022	2022						P	
Access Rules		9780520387744							https://www.degruyter.com/openurl?genre=book&isbn=9780520387744	Mayer-Schönberger	9780520387744		fulltext		University of California Press	monograph	2022	2022						P	
Accidental Holy Land		9780520385337							https://www.degruyter.com/openurl?genre=book&isbn=9780520385337	Esherick	9780520385337		fulltext		University of California Press	monograph	2022	2022						F	
Acquired Alterity		9780520383050							https://www.degruyter.com/openurl?genre=book&isbn=9780520383050	Mack	9780520383050		fulltext		University of California Press	monograph	2022	2022						F	
After Servitude		9780520386457							https://www.degruyter.com/openurl?genre=book&isbn=9780520386457	Winchell	9780520386457		fulltext		University of California Press	monograph	2022	2022						P	
Afterlives of Data		9780520973824							https://www.degruyter.com/openurl?genre=book&isbn=9780520973824	Ebeling	9780520973824		fulltext		University of California Press	monograph	2022	2022						P	
America, Goddam		9780520384507							https://www.degruyter.com/openurl?genre=book&isbn=9780520384507	Lindsey	9780520384507		fulltext		University of California Press	monograph	2022	2022						P	
An Archive of Skin, An Archive of Kin		9780520975200							https://www.degruyter.com/openurl?genre=book&isbn=9780520975200	Imada	9780520975200		fulltext		University of California Press	monograph	2022	2022						P	
Andre Bazin on Adaptation		9780520976252							https://www.degruyter.com/openurl?genre=book&isbn=9780520976252	Bazin	9780520976252		fulltext		University of California Press	monograph	2022	2022						P	
Anticolonial Eruptions		9780520976689							https://www.degruyter.com/openurl?genre=book&isbn=9780520976689	Maher	9780520976689		fulltext		University of California Press	monograph	2022	2022						P	
Are We Rich Yet?		9780520385474							https://www.degruyter.com/openurl?genre=book&isbn=9780520385474	Edwards	9780520385474		fulltext		University of California Press	monograph	2022	2022						P	
Atlas of Yellowstone		9780520976924							https://www.degruyter.com/openurl?genre=book&isbn=9780520976924	Marcus	9780520976924		fulltext		University of California Press	monograph	2022	2022		2. ed.				P	
Being Single in India		9780520389434							https://www.degruyter.com/openurl?genre=book&isbn=9780520389434	Lamb	9780520389434		fulltext		University of California Press	monograph	2022	2022						F	
Ben Cao Gang Mu, Volume III		9780520385023							https://www.degruyter.com/openurl?genre=book&isbn=9780520385023	Shizhen	9780520385023		fulltext		University of California Press	monograph	2022	2022						P	
Ben Cao Gang Mu, Volume IV		9780520385047							https://www.degruyter.com/openurl?genre=book&isbn=9780520385047	Shizhen	9780520385047		fulltext		University of California Press	monograph	2022	2022						P	
Ben Cao Gang Mu, Volume V		9780520385061							https://www.degruyter.com/openurl?genre=book&isbn=9780520385061	Shizhen	9780520385061		fulltext		University of California Press	monograph	2022	2022						P	
