PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Genealogy of Terror in Eighteenth-Century France		9780226499604							https://www.degruyter.com/openurl?genre=book&isbn=9780226499604	Schechter	9780226499604		fulltext		University of Chicago Press	monograph	2018	2018						P	1035556709
A History of America in 100 Maps		9780226458755							https://www.degruyter.com/openurl?genre=book&isbn=9780226458755	Schulten	9780226458755		fulltext		University of Chicago Press	monograph	2018	2018						P	1047729121
A History of German Jewish Bible Translation		9780226477862							https://www.degruyter.com/openurl?genre=book&isbn=9780226477862	Gillman	9780226477862		fulltext		University of Chicago Press	monograph	2018	2018						P	1029485481
A Land of Milk and Butter		9780226549644							https://www.degruyter.com/openurl?genre=book&isbn=9780226549644	Sharp	9780226549644		fulltext		University of Chicago Press	monograph	2018	2019						P	1089974715
A Year with Nature		9780226449845							https://www.degruyter.com/openurl?genre=book&isbn=9780226449845	Crump	9780226449845		fulltext		University of Chicago Press	monograph	2018	2020						P	1198929281
Abiding Grace		9780226569116							https://www.degruyter.com/openurl?genre=book&isbn=9780226569116	Taylor	9780226569116		fulltext		University of Chicago Press	monograph	2018	2020						P	1198931222
Accounting for Capitalism		9780226545899							https://www.degruyter.com/openurl?genre=book&isbn=9780226545899	Zakim	9780226545899		fulltext		University of Chicago Press	monograph	2018	2018						P	1034732542
Across the Bridge		9780226403199							https://www.degruyter.com/openurl?genre=book&isbn=9780226403199	Gee	9780226403199		fulltext		University of Chicago Press	monograph	2018	2018						P	1052200207
Action versus Contemplation		9780226032375							https://www.degruyter.com/openurl?genre=book&isbn=9780226032375	Vermeule	9780226032375		fulltext		University of Chicago Press	monograph	2018	2018						P	1030304205
Aesthetics, Industry, and Science		9780226531496							https://www.degruyter.com/openurl?genre=book&isbn=9780226531496	Wise	9780226531496		fulltext		University of Chicago Press	monograph	2018	2018						P	1031847682
America, Compromised		9780226316673							https://www.degruyter.com/openurl?genre=book&isbn=9780226316673	Lessig	9780226316673		fulltext		University of Chicago Press	monograph	2018	2020						P	1198929739
American Catholics and the Church of Tomorrow		9780226561165							https://www.degruyter.com/openurl?genre=book&isbn=9780226561165	Osborne	9780226561165		fulltext		University of Chicago Press	monograph	2018	2018						P	1028979643
An Anthropology of the Machine		9780226558691							https://www.degruyter.com/openurl?genre=book&isbn=9780226558691	Fisch	9780226558691		fulltext		University of Chicago Press	monograph	2018	2018						P	1034527079
Andy Warhol, Publisher		9780226542980							https://www.degruyter.com/openurl?genre=book&isbn=9780226542980	Mulroney	9780226542980		fulltext		University of Chicago Press	monograph	2018	2020						P	1198929193
Animal Intimacies		9780226560045							https://www.degruyter.com/openurl?genre=book&isbn=9780226560045	Govindrajan	9780226560045		fulltext		University of Chicago Press	monograph	2018	2018						P	1030993902
Animal Labor and Colonial Warfare		9780226562315							https://www.degruyter.com/openurl?genre=book&isbn=9780226562315	Hevia	9780226562315		fulltext		University of Chicago Press	monograph	2018	2018						P	1044734211
Apples and Oranges		9780226564104							https://www.degruyter.com/openurl?genre=book&isbn=9780226564104	Lincoln	9780226564104		fulltext		University of Chicago Press	monograph	2018	2020						P	1198929394
Aristotle		9780226553689							https://www.degruyter.com/openurl?genre=book&isbn=9780226553689	Winthrop	9780226553689		fulltext		University of Chicago Press	monograph	2018	2018						P	1066178041
Art in Chicago		9780226313146							https://www.degruyter.com/openurl?genre=book&isbn=9780226313146		9780226313146		fulltext		University of Chicago Press	monograph	2018	2018			Cozzolino			P	1076236575
Atlas, or the Anxious Gay Science		9780226439501							https://www.degruyter.com/openurl?genre=book&isbn=9780226439501	Lillis	9780226439501		fulltext		University of Chicago Press	monograph	2018	2018						P	1053888394
Authoritarianism		9780226597300							https://www.degruyter.com/openurl?genre=book&isbn=9780226597300	Brown	9780226597300		fulltext		University of Chicago Press	monograph	2018	2020						P	1198931496
Beasts at Bedtime		9780226431413							https://www.degruyter.com/openurl?genre=book&isbn=9780226431413	Heneghan	9780226431413		fulltext		University of Chicago Press	monograph	2018	2020						P	1198930719
Becoming Political		9780226555508							https://www.degruyter.com/openurl?genre=book&isbn=9780226555508	Skeaff	9780226555508		fulltext		University of Chicago Press	monograph	2018	2018						P	1035763087
Behind the Book		9780226405940							https://www.degruyter.com/openurl?genre=book&isbn=9780226405940	Jones	9780226405940		fulltext		University of Chicago Press	monograph	2018	2020						P	1198930558
Beyond Debt		9780226552118							https://www.degruyter.com/openurl?genre=book&isbn=9780226552118	Rudnyckyj	9780226552118		fulltext		University of Chicago Press	monograph	2018	2018						P	1049975071
Beyond the Map		9780226513980							https://www.degruyter.com/openurl?genre=book&isbn=9780226513980	Bonnett	9780226513980		fulltext		University of Chicago Press	monograph	2018	2018						P	1029547317
Beyond Weird		9780226594989							https://www.degruyter.com/openurl?genre=book&isbn=9780226594989	Ball	9780226594989		fulltext		University of Chicago Press	monograph	2018	2020						P	1198931420
Billionaires and Stealth Politics		9780226586267							https://www.degruyter.com/openurl?genre=book&isbn=9780226586267	Seawright	9780226586267		fulltext		University of Chicago Press	monograph	2018	2018						P	1076265489
Bitten by the Blues		9780226581873							https://www.degruyter.com/openurl?genre=book&isbn=9780226581873	Roberts	9780226581873		fulltext		University of Chicago Press	monograph	2018	2018						P	1057893610
Bombs Away		9780226547688							https://www.degruyter.com/openurl?genre=book&isbn=9780226547688	Havlick	9780226547688		fulltext		University of Chicago Press	monograph	2018	2018						P	1028979754
