PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Dictionary of Selected Synonyms in the Principal Indo-European Languages		9780226228860							https://www.degruyter.com/openurl?genre=book&isbn=9780226228860	Buck	9780226228860		fulltext		University of Chicago Press	monograph	1988	2008						P	
A General Equilibrium Model for Tax Policy Evaluation		9780226036335							https://www.degruyter.com/openurl?genre=book&isbn=9780226036335	Ballard	9780226036335		fulltext		University of Chicago Press	monograph	1985	2009						P	781292595
A Preliminary Discourse on the Study of Natural Philosophy		9780226327785							https://www.degruyter.com/openurl?genre=book&isbn=9780226327785	Herschel	9780226327785		fulltext		University of Chicago Press	monograph	1987	2010						P	1135582149
A Rational Expectations Approach to Macroeconometrics		9780226531922							https://www.degruyter.com/openurl?genre=book&isbn=9780226531922	Mishkin	9780226531922		fulltext		University of Chicago Press	monograph	1983	2007						P	1135595027
A Retrospective on the Classical Gold Standard, 1821-1931		9780226066929							https://www.degruyter.com/openurl?genre=book&isbn=9780226066929		9780226066929		fulltext		University of Chicago Press	monograph	1984	2009			Schwartz			P	781292604
After the New Criticism		9780226229058							https://www.degruyter.com/openurl?genre=book&isbn=9780226229058	Lentricchia	9780226229058		fulltext		University of Chicago Press	monograph	1981	2018						P	1125189212
American Judaism		9780226150475							https://www.degruyter.com/openurl?genre=book&isbn=9780226150475	Glazer	9780226150475		fulltext		University of Chicago Press	monograph	1988	2019						P	1125185053
Anxious Pleasures		9780226150161							https://www.degruyter.com/openurl?genre=book&isbn=9780226150161	Gregor	9780226150161		fulltext		University of Chicago Press	monograph	1985	2008						P	1045799698
Architecture for the Poor		9780226239149							https://www.degruyter.com/openurl?genre=book&isbn=9780226239149	Fathy	9780226239149		fulltext		University of Chicago Press	monograph	1973	2010						P	1109097501
Asia in the Making of Europe, Volume II		9780226467108							https://www.degruyter.com/openurl?genre=book&isbn=9780226467108	Lach	9780226467108		fulltext		University of Chicago Press	monograph	1970	2010						P	1135574632
Before the Convention		9780226922447							https://www.degruyter.com/openurl?genre=book&isbn=9780226922447	Aldrich	9780226922447		fulltext		University of Chicago Press	monograph	1980	2012						P	880909100
Behavioral Simulation Methods in Tax Policy Analysis		9780226241753							https://www.degruyter.com/openurl?genre=book&isbn=9780226241753		9780226241753		fulltext		University of Chicago Press	monograph	1983	2007			Feldstein			P	781253315
Beyond the Laboratory		9780226685427							https://www.degruyter.com/openurl?genre=book&isbn=9780226685427	Kuznick	9780226685427		fulltext		University of Chicago Press	monograph	1987	2019						P	1110483296
By Words Alone		9780226233376							https://www.degruyter.com/openurl?genre=book&isbn=9780226233376	Ezrahi	9780226233376		fulltext		University of Chicago Press	monograph	1980	2008						P	1135577150
Chicago '68		9780226237992							https://www.degruyter.com/openurl?genre=book&isbn=9780226237992	Farber	9780226237992		fulltext		University of Chicago Press	monograph	1988	1994						P	1124391281
City and Regime in the American Republic		9780226301631							https://www.degruyter.com/openurl?genre=book&isbn=9780226301631	Elkin	9780226301631		fulltext		University of Chicago Press	monograph	1987	2015						P	1125187020
Collected Poems of Howard Nemerov		9780226228075							https://www.degruyter.com/openurl?genre=book&isbn=9780226228075	Nemerov	9780226228075		fulltext		University of Chicago Press	monograph	1981	2015						P	1125187042
Composing for the Jazz Orchestra		9780226353463							https://www.degruyter.com/openurl?genre=book&isbn=9780226353463	Russo	9780226353463		fulltext		University of Chicago Press	monograph	1973	2015						P	1055796747
Corporate Capital Structures in the United States		9780226264233							https://www.degruyter.com/openurl?genre=book&isbn=9780226264233		9780226264233		fulltext		University of Chicago Press	monograph	1985	2009			Friedman			P	671767292
Corporate Takeovers		9780226032160							https://www.degruyter.com/openurl?genre=book&isbn=9780226032160		9780226032160		fulltext		University of Chicago Press	monograph	1988	2013			Auerbach			P	880701827
Costa Rican Natural History		9780226161204							https://www.degruyter.com/openurl?genre=book&isbn=9780226161204		9780226161204		fulltext		University of Chicago Press	monograph	1983	2018			Janzen			P	1080074630
Darkness Visible		9780226252377							https://www.degruyter.com/openurl?genre=book&isbn=9780226252377	Johnson	9780226252377		fulltext		University of Chicago Press	monograph	1976	2015						P	903633804
Developing Country Debt and Economic Performance, Volume 1		9780226733180							https://www.degruyter.com/openurl?genre=book&isbn=9780226733180		9780226733180		fulltext		University of Chicago Press	monograph	1988	2007			Sachs			P	781253690
Developing Country Debt and the World Economy		9780226733234							https://www.degruyter.com/openurl?genre=book&isbn=9780226733234		9780226733234		fulltext		University of Chicago Press	monograph	1989	2007			Sachs			P	781253692
Doctors and Their Workshops		9780226650463							https://www.degruyter.com/openurl?genre=book&isbn=9780226650463	Pauly	9780226650463		fulltext		University of Chicago Press	monograph	1980	2009						P	781292944
Dreams, Illusion, and Other Realities		9780226308098							https://www.degruyter.com/openurl?genre=book&isbn=9780226308098	O'Flaherty	9780226308098		fulltext		University of Chicago Press	monograph	1984	2015						P	1125185813
Drunk Driving		9780226222905							https://www.degruyter.com/openurl?genre=book&isbn=9780226222905	Jacobs	9780226222905		fulltext		University of Chicago Press	monograph	1989	2013						P	1051462793
Economic Adjustment and Exchange Rates in Developing Countries		9780226184739							https://www.degruyter.com/openurl?genre=book&isbn=9780226184739		9780226184739		fulltext		University of Chicago Press	monograph	1986	2007			Ahamed			P	781253992
Economic Aspects of Health		9780226267944							https://www.degruyter.com/openurl?genre=book&isbn=9780226267944		9780226267944		fulltext		University of Chicago Press	monograph	1982	2008			Fuchs			P	781253696
Economic Development		9780226232140							https://www.degruyter.com/openurl?genre=book&isbn=9780226232140	Arndt	9780226232140		fulltext		University of Chicago Press	monograph	1987	2015						P	1125187019
Economic Transfers in the United States		9780226535067							https://www.degruyter.com/openurl?genre=book&isbn=9780226535067		9780226535067		fulltext		University of Chicago Press	monograph	1984	2007			Moon			P	1135588620
Emancipation of the Polish Peasantry		9780226435268							https://www.degruyter.com/openurl?genre=book&isbn=9780226435268	Kieniewicz	9780226435268		fulltext		University of Chicago Press	monograph	1969	2008						P	1047955489
Erring		9780226169439							https://www.degruyter.com/openurl?genre=book&isbn=9780226169439	Taylor	9780226169439		fulltext		University of Chicago Press	monograph	1984	2013						P	1058448348
Evolution of Vertebrate Design		9780226220635							https://www.degruyter.com/openurl?genre=book&isbn=9780226220635	Radinsky	9780226220635		fulltext		University of Chicago Press	monograph	1987	2015						P	1125190479
Exchange Rate Theory and Practice		9780226050997							https://www.degruyter.com/openurl?genre=book&isbn=9780226050997		9780226050997		fulltext		University of Chicago Press	monograph	1984	2007			Marston			P	781253699
Exchange Rates and International Macroeconomics		9780226262536							https://www.degruyter.com/openurl?genre=book&isbn=9780226262536		9780226262536		fulltext		University of Chicago Press	monograph	1983	2010			Frenkel			P	824156863
Expectations and the Structure of Share Prices		9780226116723							https://www.degruyter.com/openurl?genre=book&isbn=9780226116723	Cragg	9780226116723		fulltext		University of Chicago Press	monograph	1982	2009						P	781292912
Explaining Science		9780226292038							https://www.degruyter.com/openurl?genre=book&isbn=9780226292038	Giere	9780226292038		fulltext		University of Chicago Press	monograph	1988	2010						P	781310714
Family Life and School Achievement		9780226221441							https://www.degruyter.com/openurl?genre=book&isbn=9780226221441	Clark	9780226221441		fulltext		University of Chicago Press	monograph	1984	2015						P	1125190527
Federal Tax Policy and Charitable Giving		9780226110615							https://www.degruyter.com/openurl?genre=book&isbn=9780226110615	Clotfelter	9780226110615		fulltext		University of Chicago Press	monograph	1985	2007						P	824143737
Financial Aspects of the United States Pension System		9780226062891							https://www.degruyter.com/openurl?genre=book&isbn=9780226062891		9780226062891		fulltext		University of Chicago Press	monograph	1984	2008			Shoven			P	781253997
Financial Policies and the World Capital Market		9780226029979							https://www.degruyter.com/openurl?genre=book&isbn=9780226029979		9780226029979		fulltext		University of Chicago Press	monograph	1983	2009			Armella			P	781292592
Financing Corporate Capital Formation		9780226264240							https://www.degruyter.com/openurl?genre=book&isbn=9780226264240		9780226264240		fulltext		University of Chicago Press	monograph	1986	2007			Friedman			P	781253999
Fiscal Federalism		9780226726236							https://www.degruyter.com/openurl?genre=book&isbn=9780226726236		9780226726236		fulltext		University of Chicago Press	monograph	1988	2008			Rosen			P	1058518638
Folktales of Egypt		9780226206233							https://www.degruyter.com/openurl?genre=book&isbn=9780226206233	El-Shamy	9780226206233		fulltext		University of Chicago Press	monograph	1982	2010						P	748211731
Folktales of Norway		9780226375205							https://www.degruyter.com/openurl?genre=book&isbn=9780226375205		9780226375205		fulltext		University of Chicago Press	monograph	1964	2016			Christiansen			P	
Freedom and the End of Reason		9780226157580							https://www.degruyter.com/openurl?genre=book&isbn=9780226157580	Velkley	9780226157580		fulltext		University of Chicago Press	monograph	1989	2014						P	870587673
Hegel, Heidegger, and the Ground of History		9780226309866							https://www.degruyter.com/openurl?genre=book&isbn=9780226309866	Gillespie	9780226309866		fulltext		University of Chicago Press	monograph	1984	2015						P	1058472594
History of Religious Ideas, Volume 1		9780226147697							https://www.degruyter.com/openurl?genre=book&isbn=9780226147697	Eliade	9780226147697		fulltext		University of Chicago Press	monograph	1979	2014						P	1125188457
History of Religious Ideas, Volume 2		9780226027357							https://www.degruyter.com/openurl?genre=book&isbn=9780226027357		9780226027357		fulltext		University of Chicago Press	monograph	1982	2011						P	1048427968
History of Religious Ideas, Volume 3		9780226147727							https://www.degruyter.com/openurl?genre=book&isbn=9780226147727	Eliade	9780226147727		fulltext		University of Chicago Press	monograph	1985	2013						P	1048428316
Horizontal Equity, Uncertainty, and Economic Well-being		9780226137285							https://www.degruyter.com/openurl?genre=book&isbn=9780226137285		9780226137285		fulltext		University of Chicago Press	monograph	1985	2009			Smeeding			P	1135614196
Import Competition and Response		9780226045405							https://www.degruyter.com/openurl?genre=book&isbn=9780226045405		9780226045405		fulltext		University of Chicago Press	monograph	1982	2009			Bhagwati			P	1135585634
Inflation		9780226313252							https://www.degruyter.com/openurl?genre=book&isbn=9780226313252		9780226313252		fulltext		University of Chicago Press	monograph	1983	2009			Hall			P	1001627548
Inflation, Tax Rules, and Capital Formation		9780226241791							https://www.degruyter.com/openurl?genre=book&isbn=9780226241791	Feldstein	9780226241791		fulltext		University of Chicago Press	monograph	1983	2009						P	781292105
Interaction and Coevolution		9780226127323							https://www.degruyter.com/openurl?genre=book&isbn=9780226127323	Thompson	9780226127323		fulltext		University of Chicago Press	monograph	1982	2014						P	1048393437
International Aspects of Fiscal Policies		9780226262543							https://www.degruyter.com/openurl?genre=book&isbn=9780226262543		9780226262543		fulltext		University of Chicago Press	monograph	1988	2007			Frenkel			P	1135589468
International Economic Cooperation		9780226241814							https://www.degruyter.com/openurl?genre=book&isbn=9780226241814		9780226241814		fulltext		University of Chicago Press	monograph	1988	2007			Feldstein			P	781253928
Issues in Pension Economics		9780226062907							https://www.degruyter.com/openurl?genre=book&isbn=9780226062907		9780226062907		fulltext		University of Chicago Press	monograph	1987	2007			Bodie			P	1135591244
Issues in US-EC Trade Relations		9780226036526							https://www.degruyter.com/openurl?genre=book&isbn=9780226036526		9780226036526		fulltext		University of Chicago Press	monograph	1988	2009			Baldwin			P	1135588404
John Locke		9780226051178							https://www.degruyter.com/openurl?genre=book&isbn=9780226051178	Vaughn	9780226051178		fulltext		University of Chicago Press	monograph	1980	2012						P	842841235
John Locke's Liberalism		9780226306919							https://www.degruyter.com/openurl?genre=book&isbn=9780226306919	Grant	9780226306919		fulltext		University of Chicago Press	monograph	1987	2010						P	729018379
Judaism and Christianity in the Age of Constantine		9780226576473							https://www.degruyter.com/openurl?genre=book&isbn=9780226576473	Neusner	9780226576473		fulltext		University of Chicago Press	monograph	1987	2008						P	1058336344
Karim Khan Zand		9780226661025							https://www.degruyter.com/openurl?genre=book&isbn=9780226661025	Perry	9780226661025		fulltext		University of Chicago Press	monograph	1979	2015						P	1058661292
