PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Catalog of the Diptera of the Oriental Region		9780824886585							https://www.degruyter.com/openurl?genre=book&isbn=9780824886585		9780824886585		fulltext		University of Hawaii Press	monograph	1977	2021			Hardy			P	1253313862
A Catalog of the Diptera of the Oriental Region		9780824886578							https://www.degruyter.com/openurl?genre=book&isbn=9780824886578		9780824886578		fulltext		University of Hawaii Press	monograph	1975	2021			Hardy			P	1253313114
A Catalog of the Diptera of the Oriental Region		9780824886561							https://www.degruyter.com/openurl?genre=book&isbn=9780824886561		9780824886561		fulltext		University of Hawaii Press	monograph	1973	2021			Hardy			P	1253313557
A Chinese-Russian-English Dictionary		9780824890810							https://www.degruyter.com/openurl?genre=book&isbn=9780824890810	Barlow	9780824890810		fulltext		University of Hawaii Press	monograph	1995	2022						P	
A Directory of Selected Resources for the Study of English in Japan		9780824890742							https://www.degruyter.com/openurl?genre=book&isbn=9780824890742	Brownell	9780824890742		fulltext		University of Hawaii Press	monograph	1976	2022						P	
A Generation Later		9780824862640							https://www.degruyter.com/openurl?genre=book&isbn=9780824862640	Eder	9780824862640		fulltext		University of Hawaii Press	monograph	1999	1999						P	44954545
A is for Aloha		9780824846633							https://www.degruyter.com/openurl?genre=book&isbn=9780824846633		9780824846633		fulltext		University of Hawaii Press	monograph	1980	2021						P	1253313387
A Maranao Dictionary		9780824885946							https://www.degruyter.com/openurl?genre=book&isbn=9780824885946		9780824885946		fulltext		University of Hawaii Press	monograph	1967	2021			Macaraya			P	1253313813
A Natural History of the Hawaiian Islands		9780824844264							https://www.degruyter.com/openurl?genre=book&isbn=9780824844264	Kay	9780824844264		fulltext		University of Hawaii Press	monograph	1994	2021						P	1253312847
A Practical Guide to Divorce in Hawaii		9780824886318							https://www.degruyter.com/openurl?genre=book&isbn=9780824886318	Herman	9780824886318		fulltext		University of Hawaii Press	monograph	1986	2021						P	1253313416
A Practical Guide to Divorce in Hawaii		9780824841546							https://www.degruyter.com/openurl?genre=book&isbn=9780824841546	Herman	9780824841546		fulltext		University of Hawaii Press	monograph	1991	2021		2. ed.				P	1253313876
A Ready-Made Life		9780824864088							https://www.degruyter.com/openurl?genre=book&isbn=9780824864088		9780824864088		fulltext		University of Hawaii Press	monograph	1998	1998						P	1021227113
A Spark is Struck!		9780824887551							https://www.degruyter.com/openurl?genre=book&isbn=9780824887551	Zalburg	9780824887551		fulltext		University of Hawaii Press	monograph	1979	2021						P	1253314165
A Special Relationship		9780824864415							https://www.degruyter.com/openurl?genre=book&isbn=9780824864415	Fineman	9780824864415		fulltext		University of Hawaii Press	monograph	1997	1997						P	1021230205
A Tree in Bud		9780824890728							https://www.degruyter.com/openurl?genre=book&isbn=9780824890728	d'Angelad	9780824890728		fulltext		University of Hawaii Press	monograph	1987	2022						P	
A Voyage Round the World from 1806 to 1812		9780824885151							https://www.degruyter.com/openurl?genre=book&isbn=9780824885151	Campbell	9780824885151		fulltext		University of Hawaii Press	monograph	1967	2021						P	1253312806
A Woman's Weapon		9780824861322							https://www.degruyter.com/openurl?genre=book&isbn=9780824861322	Bargen	9780824861322		fulltext		University of Hawaii Press	monograph	1997	1997						P	
Abortion Politics		9780824887148							https://www.degruyter.com/openurl?genre=book&isbn=9780824887148	Steinhoff	9780824887148		fulltext		University of Hawaii Press	monograph	1977	2021						P	1253312743
Abraham Fornander		9780824887193							https://www.degruyter.com/openurl?genre=book&isbn=9780824887193	Davis	9780824887193		fulltext		University of Hawaii Press	monograph	1979	2021						P	1253313046
Academies and Society in Southern Sung China		9780824861353							https://www.degruyter.com/openurl?genre=book&isbn=9780824861353	Walton	9780824861353		fulltext		University of Hawaii Press	monograph	1999	1999						P	1054869536
Accomplishing the Accomplished		9780824851170							https://www.degruyter.com/openurl?genre=book&isbn=9780824851170	Rambachan	9780824851170		fulltext		University of Hawaii Press	monograph	1991	2021						P	1253313415
Adoption in Eastern Oceania		9780824885212							https://www.degruyter.com/openurl?genre=book&isbn=9780824885212		9780824885212		fulltext		University of Hawaii Press	monograph	1970	2021			Carroll			P	1253313064
Advaita Vedānta		9780824841690							https://www.degruyter.com/openurl?genre=book&isbn=9780824841690	Deutsch	9780824841690		fulltext		University of Hawaii Press	monograph	1969	2021						P	1253312868
Ain't No Big Thing		9780824887766							https://www.degruyter.com/openurl?genre=book&isbn=9780824887766	Howard	9780824887766		fulltext		University of Hawaii Press	monograph	1974	2021						P	1253313935
Allergy in the World		9780824886950							https://www.degruyter.com/openurl?genre=book&isbn=9780824886950		9780824886950		fulltext		University of Hawaii Press	monograph	1978	2021			Roth			P	1253313107
Aloha Cowboy		9780824888527							https://www.degruyter.com/openurl?genre=book&isbn=9780824888527	Stone	9780824888527		fulltext		University of Hawaii Press	monograph	1988	2022						P	
Ambassadors in Arms		9780824885496							https://www.degruyter.com/openurl?genre=book&isbn=9780824885496	Murphy	9780824885496		fulltext		University of Hawaii Press	monograph	1954	2021						P	1253313247
American Anthropology in Micronesia		9780824861421							https://www.degruyter.com/openurl?genre=book&isbn=9780824861421		9780824861421		fulltext		University of Hawaii Press	monograph	1999	1999			Kiste			P	1054866747
American Education Through Japanese Eyes		9780824887209							https://www.degruyter.com/openurl?genre=book&isbn=9780824887209	Masui	9780824887209		fulltext		University of Hawaii Press	monograph	1973	2021						P	1253313099
American Schools for the Natives of Ponape		9780824886424							https://www.degruyter.com/openurl?genre=book&isbn=9780824886424	Colletta	9780824886424		fulltext		University of Hawaii Press	monograph	1980	2021						P	1253313570
An American Scientist in Early Meiji Japan		9780824888077							https://www.degruyter.com/openurl?genre=book&isbn=9780824888077	Mendenhall	9780824888077		fulltext		University of Hawaii Press	monograph	1989	2022						P	
