PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A is for Aloha		9780824892708							https://www.degruyter.com/openurl?genre=book&isbn=9780824892708	Feeney	9780824892708		fulltext		University of Hawaii Press	monograph	2018	2021						P	
Akutō and Rural Conflict in Medieval Japan		9780824875336							https://www.degruyter.com/openurl?genre=book&isbn=9780824875336	Oxenboell	9780824875336		fulltext		University of Hawaii Press	monograph	2018	2018						P	1037095275
At the Edge of the Nation		9780824875473							https://www.degruyter.com/openurl?genre=book&isbn=9780824875473	Richardson	9780824875473		fulltext		University of Hawaii Press	monograph	2018	2018						P	1035947413
Becoming Brazil		9780824882563							https://www.degruyter.com/openurl?genre=book&isbn=9780824882563		9780824882563		fulltext		University of Hawaii Press	monograph	2018	2019			Becker			P	1102593166
Beyond Ethnicity		9780824873523							https://www.degruyter.com/openurl?genre=book&isbn=9780824873523		9780824873523		fulltext		University of Hawaii Press	monograph	2018	2018						P	1031468802
Breaking the Shell		9780824873417							https://www.degruyter.com/openurl?genre=book&isbn=9780824873417	Genz	9780824873417		fulltext		University of Hawaii Press	monograph	2018	2018						P	1034526325
Buddhist Law in Burma		9780824876098							https://www.degruyter.com/openurl?genre=book&isbn=9780824876098	Lammerts	9780824876098		fulltext		University of Hawaii Press	monograph	2018	2018						P	1078917683
Cities and Nationhood		9780824875510							https://www.degruyter.com/openurl?genre=book&isbn=9780824875510	Morley	9780824875510		fulltext		University of Hawaii Press	monograph	2018	2018						P	1035947396
Citing China		9780824866600							https://www.degruyter.com/openurl?genre=book&isbn=9780824866600	Marchetti	9780824866600		fulltext		University of Hawaii Press	monograph	2018	2018						P	1020789540
Community Music in Oceania		9780824867034							https://www.degruyter.com/openurl?genre=book&isbn=9780824867034		9780824867034		fulltext		University of Hawaii Press	monograph	2018	2018			Bartleet			P	1037095286
