PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Beggar's Art		9780824860745							https://www.degruyter.com/openurl?genre=book&isbn=9780824860745	Poulton	9780824860745		fulltext		University of Hawaii Press	monograph	2010	2010						P	671812359
A Cup of Aloha		9780824840839							https://www.degruyter.com/openurl?genre=book&isbn=9780824840839	Kinro	9780824840839		fulltext		University of Hawaii Press	monograph	2003	2003						P	1041974926
A Distant and Beautiful Place		9780824861230							https://www.degruyter.com/openurl?genre=book&isbn=9780824861230		9780824861230		fulltext		University of Hawaii Press	monograph	2002	2002						P	1024024372
A Faraway, Familiar Place		9780824839000							https://www.degruyter.com/openurl?genre=book&isbn=9780824839000	Smith	9780824839000		fulltext		University of Hawaii Press	monograph	2013	2013						P	858899979
A Flock of Swirling Crows		9780824840655							https://www.degruyter.com/openurl?genre=book&isbn=9780824840655		9780824840655		fulltext		University of Hawaii Press	monograph	2005	2005						P	1054880062
A Foxhole View		9780824861247							https://www.degruyter.com/openurl?genre=book&isbn=9780824861247	Baldovi	9780824861247		fulltext		University of Hawaii Press	monograph	2002	2002						P	1054865434
A Heritage of Ruins		9780824837938							https://www.degruyter.com/openurl?genre=book&isbn=9780824837938	Chapman	9780824837938		fulltext		University of Hawaii Press	monograph	2013	2013						P	1054881713
A Japanese Robinson Crusoe		9780824861278							https://www.degruyter.com/openurl?genre=book&isbn=9780824861278	Oyabe	9780824861278		fulltext		University of Hawaii Press	monograph	2009	2009						P	1054881109
A Paradise Lost		9780824863876							https://www.degruyter.com/openurl?genre=book&isbn=9780824863876	Wong	9780824863876		fulltext		University of Hawaii Press	monograph	2000	2000						P	1024043556
A Poetics of Courtly Male Friendship in Heian Japan		9780824861285							https://www.degruyter.com/openurl?genre=book&isbn=9780824861285	Schalow	9780824861285		fulltext		University of Hawaii Press	monograph	2006	2006						P	1024049454
A Reference Grammar of Japanese		9780824843861							https://www.degruyter.com/openurl?genre=book&isbn=9780824843861	Martin	9780824843861		fulltext		University of Hawaii Press	monograph	2003	2003						P	1083591008
A Tale of False Fortunes		9780824861292							https://www.degruyter.com/openurl?genre=book&isbn=9780824861292		9780824861292		fulltext		University of Hawaii Press	monograph	2000	2000						P	1058866551
A Treatise on Efficacy		9780824843144							https://www.degruyter.com/openurl?genre=book&isbn=9780824843144	Jullien	9780824843144		fulltext		University of Hawaii Press	monograph	2004	2004						P	654596160
A Voyage Round the World, 2 vols.		9780824861308							https://www.degruyter.com/openurl?genre=book&isbn=9780824861308	Forster	9780824861308		fulltext		University of Hawaii Press	monograph	2000	2000						P	1076451050
A Wild Deer amid Soaring Phoenixes		9780824861315							https://www.degruyter.com/openurl?genre=book&isbn=9780824861315	Warner	9780824861315		fulltext		University of Hawaii Press	monograph	2003	2003						P	1054881387
Absolute Delusion, Perfect Buddhahood		9780824861346							https://www.degruyter.com/openurl?genre=book&isbn=9780824861346	Hubbard	9780824861346		fulltext		University of Hawaii Press	monograph	2001	2000						P	1024016475
Acting the Right Part		9780824861360							https://www.degruyter.com/openurl?genre=book&isbn=9780824861360	Chen	9780824861360		fulltext		University of Hawaii Press	monograph	2002	2002						P	1054877137
Acts of Reading		9780824861377							https://www.degruyter.com/openurl?genre=book&isbn=9780824861377	Noda	9780824861377		fulltext		University of Hawaii Press	monograph	2002	2002						P	1024016192
Adapted for the Screen		9780824860653							https://www.degruyter.com/openurl?genre=book&isbn=9780824860653	Deppman	9780824860653		fulltext		University of Hawaii Press	monograph	2010	2010						P	663882778
Adventuring in Hawaii		9780824845179							https://www.degruyter.com/openurl?genre=book&isbn=9780824845179	McMahon	9780824845179		fulltext		University of Hawaii Press	monograph	2003	2003						P	1024047435
After the New Order		9780824838669							https://www.degruyter.com/openurl?genre=book&isbn=9780824838669		9780824838669		fulltext		University of Hawaii Press	monograph	2013	2013			Darby			P	1054879559
Ainu Spirits Singing		9780824860127							https://www.degruyter.com/openurl?genre=book&isbn=9780824860127	Strong	9780824860127		fulltext		University of Hawaii Press	monograph	2011	2011						P	1053480167
Allegorical Architecture		9780824861384							https://www.degruyter.com/openurl?genre=book&isbn=9780824861384	Ruan	9780824861384		fulltext		University of Hawaii Press	monograph	2006	2006						P	1076425396
Ambassadors from the Island of Immortals		9780824861391							https://www.degruyter.com/openurl?genre=book&isbn=9780824861391	Wang	9780824861391		fulltext		University of Hawaii Press	monograph	2005	2005						P	875895377
Ambition and Identity		9780824861407							https://www.degruyter.com/openurl?genre=book&isbn=9780824861407	Wilson	9780824861407		fulltext		University of Hawaii Press	monograph	2004	2004						P	1054873592
American Aloha		9780824861414							https://www.degruyter.com/openurl?genre=book&isbn=9780824861414	Diamond	9780824861414		fulltext		University of Hawaii Press	monograph	2008	2008						P	1054880969
An American Girl in the Hawaiian Islands		9780824837228							https://www.degruyter.com/openurl?genre=book&isbn=9780824837228	Day	9780824837228		fulltext		University of Hawaii Press	monograph	2012	2012						P	1076409409
An Edo Anthology		9780824837761							https://www.degruyter.com/openurl?genre=book&isbn=9780824837761		9780824837761		fulltext		University of Hawaii Press	monograph	2013	2013						P	1076411021
An Honorable Accord		9780824851156							https://www.degruyter.com/openurl?genre=book&isbn=9780824851156	Willens	9780824851156		fulltext		University of Hawaii Press	monograph	2001	2001						P	1041990962
Anatomia, 1838 (Hawaiian text with English translation)		9780824845001							https://www.degruyter.com/openurl?genre=book&isbn=9780824845001		9780824845001		fulltext		University of Hawaii Press	monograph	2003	2003						P	1013954802
Anatomy of a Crisis		9780824861445							https://www.degruyter.com/openurl?genre=book&isbn=9780824861445	Ayres	9780824861445		fulltext		University of Hawaii Press	monograph	2000	2000						P	1063887627
Ancestry of Experience		9780824837723							https://www.degruyter.com/openurl?genre=book&isbn=9780824837723	Holmes	9780824837723		fulltext		University of Hawaii Press	monograph	2012	2012						P	830023836
Ancient Ryukyu		9780824865894							https://www.degruyter.com/openurl?genre=book&isbn=9780824865894	Pearson	9780824865894		fulltext		University of Hawaii Press	monograph	2013	2013						P	1024042253
And So Flows History		9780824851125							https://www.degruyter.com/openurl?genre=book&isbn=9780824851125		9780824851125		fulltext		University of Hawaii Press	monograph	2005	2005						P	1013954803
And the Sun Pursued the Moon		9780824874575							https://www.degruyter.com/openurl?genre=book&isbn=9780824874575	Gibson	9780824874575		fulltext		University of Hawaii Press	monograph	2005	2005						P	1054881776
Androgyny in Late Ming and Early Qing Literature		9780824861452							https://www.degruyter.com/openurl?genre=book&isbn=9780824861452	Zhou	9780824861452		fulltext		University of Hawaii Press	monograph	2003	2003						P	1054879480
Angelwings		9780824861469							https://www.degruyter.com/openurl?genre=book&isbn=9780824861469		9780824861469		fulltext		University of Hawaii Press	monograph	2003	2003						P	1054881469
Anthropology's Global Histories		9780824861476							https://www.degruyter.com/openurl?genre=book&isbn=9780824861476	Buschmann	9780824861476		fulltext		University of Hawaii Press	monograph	2008	2008						P	1024029914
Approaching the Land of Bliss		9780824842987							https://www.degruyter.com/openurl?genre=book&isbn=9780824842987		9780824842987		fulltext		University of Hawaii Press	monograph	2003	2003			Payne			P	1013937852
Architecture and Urbanism in Modern Korea		9780824839017							https://www.degruyter.com/openurl?genre=book&isbn=9780824839017	Jung	9780824839017		fulltext		University of Hawaii Press	monograph	2013	2013						P	859157603
Art as Politics		9780824861483							https://www.degruyter.com/openurl?genre=book&isbn=9780824861483	Adams	9780824861483		fulltext		University of Hawaii Press	monograph	2006	2006						P	1045533940
Art, Religion, and Politics in Medieval China		9780824861490							https://www.degruyter.com/openurl?genre=book&isbn=9780824861490	Ning	9780824861490		fulltext		University of Hawaii Press	monograph	2004	2004						P	875895262
Artistic Detachment in Japan and the West		9780824861506							https://www.degruyter.com/openurl?genre=book&isbn=9780824861506	Odin	9780824861506		fulltext		University of Hawaii Press	monograph	2001	2001						P	1054880618
Asian Culture and Psychotherapy		9780824873868							https://www.degruyter.com/openurl?genre=book&isbn=9780824873868		9780824873868		fulltext		University of Hawaii Press	monograph	2005	2005			Chang			P	1076401710
Asian Settler Colonialism		9780824861513							https://www.degruyter.com/openurl?genre=book&isbn=9780824861513		9780824861513		fulltext		University of Hawaii Press	monograph	2008	2008			Fujikane			P	1076412140
Asia's Maritime Bead Trade		9780824861520							https://www.degruyter.com/openurl?genre=book&isbn=9780824861520	Francis	9780824861520		fulltext		University of Hawaii Press	monograph	2001	2001						P	1076412141
At the House of Gathered Leaves		9780824846213							https://www.degruyter.com/openurl?genre=book&isbn=9780824846213	Mostow	9780824846213		fulltext		University of Hawaii Press	monograph	2004	2004						P	1054879029
Attracting the Heart		9780824860622							https://www.degruyter.com/openurl?genre=book&isbn=9780824860622	Samuels	9780824860622		fulltext		University of Hawaii Press	monograph	2010	2010						P	794925328
Backstage in a Bureaucracy		9780824860936							https://www.degruyter.com/openurl?genre=book&isbn=9780824860936	Pratt	9780824860936		fulltext		University of Hawaii Press	monograph	2011	2011						P	875241053
Bandits, Eunuchs, and the Son of Heaven		9780824861544							https://www.degruyter.com/openurl?genre=book&isbn=9780824861544	Robinson	9780824861544		fulltext		University of Hawaii Press	monograph	2001	2001						P	53481913
Banished!		9780824861551							https://www.degruyter.com/openurl?genre=book&isbn=9780824861551		9780824861551		fulltext		University of Hawaii Press	monograph	2008	2008						P	1076454619
Barons, Brokers, and Buyers		9780824861568							https://www.degruyter.com/openurl?genre=book&isbn=9780824861568	Billig	9780824861568		fulltext		University of Hawaii Press	monograph	2002	2002						P	1023995709
Basho and the Dao		9780824861575							https://www.degruyter.com/openurl?genre=book&isbn=9780824861575	Qiu	9780824861575		fulltext		University of Hawaii Press	monograph	2005	2005						P	875895212
Becoming American? The Art and Identity Crisis of Yasuo Kuniyoshi		9780824860271							https://www.degruyter.com/openurl?genre=book&isbn=9780824860271	Wang	9780824860271		fulltext		University of Hawaii Press	monograph	2011	2011						P	794925329
Begin Here		9780824861599							https://www.degruyter.com/openurl?genre=book&isbn=9780824861599	Davis	9780824861599		fulltext		University of Hawaii Press	monograph	2007	2007						P	991911549
Being Benevolence		9780824861629							https://www.degruyter.com/openurl?genre=book&isbn=9780824861629	King	9780824861629		fulltext		University of Hawaii Press	monograph	2005	2005						P	1054880537
Between the Folds		9780824861636							https://www.degruyter.com/openurl?genre=book&isbn=9780824861636	Forshee	9780824861636		fulltext		University of Hawaii Press	monograph	2000	2000						P	1024061759
Beyond Ainu Studies		9780824839185							https://www.degruyter.com/openurl?genre=book&isbn=9780824839185		9780824839185		fulltext		University of Hawaii Press	monograph	2013	2013			Hudson			P	1024010324
Beyond the Bronze Pillars		9780824874001							https://www.degruyter.com/openurl?genre=book&isbn=9780824874001	Kelley	9780824874001		fulltext		University of Hawaii Press	monograph	2005	2005						P	1024056460
Big Happiness		9780824860929							https://www.degruyter.com/openurl?genre=book&isbn=9780824860929	Panek	9780824860929		fulltext		University of Hawaii Press	monograph	2011	2011						P	1054881429
Birthing in the Pacific		9780824846206							https://www.degruyter.com/openurl?genre=book&isbn=9780824846206		9780824846206		fulltext		University of Hawaii Press	monograph	2001	2001			Jolly			P	1013960878
Blood and History in China		9780824861643							https://www.degruyter.com/openurl?genre=book&isbn=9780824861643	Dardess	9780824861643		fulltext		University of Hawaii Press	monograph	2002	2002						P	52841130
Bodhisattvas of the Forest and the Formation of the Mahayana		9780824861650							https://www.degruyter.com/openurl?genre=book&isbn=9780824861650	Boucher	9780824861650		fulltext		University of Hawaii Press	monograph	2008	2008						P	436158460
Bodies of Evidence		9780824861667							https://www.degruyter.com/openurl?genre=book&isbn=9780824861667	Seaman	9780824861667		fulltext		University of Hawaii Press	monograph	2004	2004						P	1054873593
Bones of Contention		9780824837204							https://www.degruyter.com/openurl?genre=book&isbn=9780824837204	Ambros	9780824837204		fulltext		University of Hawaii Press	monograph	2012	2012						P	1076408521
Born Again		9780824837600							https://www.degruyter.com/openurl?genre=book&isbn=9780824837600	Lee	9780824837600		fulltext		University of Hawaii Press	monograph	2009	2009						P	1013957972
Boundary Writing		9780824843212							https://www.degruyter.com/openurl?genre=book&isbn=9780824843212		9780824843212		fulltext		University of Hawaii Press	monograph	2006	2006			Russell			P	1054877689
Bounding the Mekong		9780824837501							https://www.degruyter.com/openurl?genre=book&isbn=9780824837501	Glassman	9780824837501		fulltext		University of Hawaii Press	monograph	2010	2010						P	762065610
Bridges to the Ancestors		9780824861674							https://www.degruyter.com/openurl?genre=book&isbn=9780824861674	Harnish	9780824861674		fulltext		University of Hawaii Press	monograph	2005	2005						P	994403394
Bright Triumphs From Dark Hours		9780824860554							https://www.degruyter.com/openurl?genre=book&isbn=9780824860554	Heenan	9780824860554		fulltext		University of Hawaii Press	monograph	2009	2009						P	1024014103
Bringing Zen Home		9780824860134							https://www.degruyter.com/openurl?genre=book&isbn=9780824860134	Arai	9780824860134		fulltext		University of Hawaii Press	monograph	2011	2011						P	1054881503
Broken Trust		9780824838089							https://www.degruyter.com/openurl?genre=book&isbn=9780824838089	King	9780824838089		fulltext		University of Hawaii Press	monograph	2006	2006						F	1054872082
Brothers under a Same Sky		9780824837945							https://www.degruyter.com/openurl?genre=book&isbn=9780824837945	Pak	9780824837945		fulltext		University of Hawaii Press	monograph	2013	2013						P	859157606
Buddhism and Taoism Face to Face		9780824861698							https://www.degruyter.com/openurl?genre=book&isbn=9780824861698	Mollier	9780824861698		fulltext		University of Hawaii Press	monograph	2008	2008						P	1054881714
Buddhism in a Dark Age		9780824865771							https://www.degruyter.com/openurl?genre=book&isbn=9780824865771	Harris	9780824865771		fulltext		University of Hawaii Press	monograph	2012	2012						P	1024018544
Buddhist Missionaries in the Era of Globalization		9780824874025							https://www.degruyter.com/openurl?genre=book&isbn=9780824874025		9780824874025		fulltext		University of Hawaii Press	monograph	2004	2004			Learman			P	1024057896
Buddhist Monks and Business Matters		9780824873912							https://www.degruyter.com/openurl?genre=book&isbn=9780824873912	Schopen	9780824873912		fulltext		University of Hawaii Press	monograph	2004	2004						P	1024028259
