PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A New Working Class		9780812298086							https://www.degruyter.com/openurl?genre=book&isbn=9780812298086	Berger	9780812298086		fulltext		University of Pennsylvania Press	monograph	2022	2021						P	
A Pious Belligerence		9780812297515							https://www.degruyter.com/openurl?genre=book&isbn=9780812297515	Shachar	9780812297515		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
A Right to Lie?		9780812299731							https://www.degruyter.com/openurl?genre=book&isbn=9780812299731	Ross	9780812299731		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
After Nationalism		9780812296457							https://www.degruyter.com/openurl?genre=book&isbn=9780812296457	Goldman	9780812296457		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1243554950
American Freethinker		9780812297829							https://www.degruyter.com/openurl?genre=book&isbn=9780812297829	Fischer	9780812297829		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1233041414
An Inner World		9781734733822							https://www.degruyter.com/openurl?genre=book&isbn=9781734733822	Jorink	9781734733822		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Artificial Life After Frankenstein		9780812297720							https://www.degruyter.com/openurl?genre=book&isbn=9780812297720	Botting	9780812297720		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1227389453
Assembling the Local		9780812297713							https://www.degruyter.com/openurl?genre=book&isbn=9780812297713	Chakrabarti	9780812297713		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1225547455
Battle Green Vietnam		9780812297959							https://www.degruyter.com/openurl?genre=book&isbn=9780812297959	Lemire	9780812297959		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1244626842
Bitstreams		9780812298048							https://www.degruyter.com/openurl?genre=book&isbn=9780812298048	Kirschenbaum	9780812298048		fulltext		University of Pennsylvania Press	monograph	2022	2021						P	
Book Traces		9780812297492							https://www.degruyter.com/openurl?genre=book&isbn=9780812297492	Stauffer	9780812297492		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Building a Religious Empire		9780812297676							https://www.degruyter.com/openurl?genre=book&isbn=9780812297676	Sullivan	9780812297676		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1233041162
Captives of Conquest		9780812299588							https://www.degruyter.com/openurl?genre=book&isbn=9780812299588	Stone	9780812299588		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Critical Disaster Studies		9780812299724							https://www.degruyter.com/openurl?genre=book&isbn=9780812299724		9780812299724		fulltext		University of Pennsylvania Press	monograph	2021	2021			Remes			P	
Democracy's Think Tank		9780812299601							https://www.degruyter.com/openurl?genre=book&isbn=9780812299601	Mueller	9780812299601		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Dignity Rights		9780812224795							https://www.degruyter.com/openurl?genre=book&isbn=9780812224795		9780812224795		fulltext		University of Pennsylvania Press	monograph	2021	2020		Updated Edition				P	1224277897
Disastrous Times		9780812297690							https://www.degruyter.com/openurl?genre=book&isbn=9780812297690		9780812297690		fulltext		University of Pennsylvania Press	monograph	2021	2021			Vaughan			P	1233041393
Divorce, American Style		9780812297881							https://www.degruyter.com/openurl?genre=book&isbn=9780812297881	Kahn	9780812297881		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1244622421
Engineering Expansion		9780812298116							https://www.degruyter.com/openurl?genre=book&isbn=9780812298116	Adler	9780812298116		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
"Ethel's Love-Life" and Other Writings		9780812297409							https://www.degruyter.com/openurl?genre=book&isbn=9780812297409	Sweat	9780812297409		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1233040588
Evading International Norms		9780812297683							https://www.degruyter.com/openurl?genre=book&isbn=9780812297683	Búzás	9780812297683		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1229048831
Extinction and the Human		9780812298055							https://www.degruyter.com/openurl?genre=book&isbn=9780812298055	Sweet	9780812298055		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Fair Copy		9780812298093							https://www.degruyter.com/openurl?genre=book&isbn=9780812298093	Putzi	9780812298093		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Far-Right Vanguard		9780812298109							https://www.degruyter.com/openurl?genre=book&isbn=9780812298109	Huntington	9780812298109		fulltext		University of Pennsylvania Press	monograph	2022	2021						P	
Fighting for the Higher Law		9780812297898							https://www.degruyter.com/openurl?genre=book&isbn=9780812297898	Wirzbicki	9780812297898		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1237411348
From Europe's East to the Middle East		9780812299571							https://www.degruyter.com/openurl?genre=book&isbn=9780812299571		9780812299571		fulltext		University of Pennsylvania Press	monograph	2021	2021			Nathans			P	
Ghosts, Holes, Rips and Scrapes		9780812297928							https://www.degruyter.com/openurl?genre=book&isbn=9780812297928	Lesser	9780812297928		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1243546303
Heavenly Stories		9780812299748							https://www.degruyter.com/openurl?genre=book&isbn=9780812299748	Kocar	9780812299748		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Household Goods and Good Households in Late Medieval London		9780812299533							https://www.degruyter.com/openurl?genre=book&isbn=9780812299533	French	9780812299533		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Hypocrisy and the Philosophical Intentions of Rousseau		9780812297805							https://www.degruyter.com/openurl?genre=book&isbn=9780812297805	Mendham	9780812297805		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1237399351
Iberian Moorings		9780812297874							https://www.degruyter.com/openurl?genre=book&isbn=9780812297874	Brann	9780812297874		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1240584412
In Good Faith		9780812297393							https://www.degruyter.com/openurl?genre=book&isbn=9780812297393	Gilbert	9780812297393		fulltext		University of Pennsylvania Press	monograph	2021	2020						P	1193122355
Infinite Variety		9780812299908							https://www.degruyter.com/openurl?genre=book&isbn=9780812299908	Schmidgen	9780812299908		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Invisible Enlighteners		9780812299625							https://www.degruyter.com/openurl?genre=book&isbn=9780812299625	Francesconi	9780812299625		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1243535833
I've Been Here All the While		9780812297980							https://www.degruyter.com/openurl?genre=book&isbn=9780812297980	Roberts	9780812297980		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1246427292
Japanese American Incarceration		9780812299953							https://www.degruyter.com/openurl?genre=book&isbn=9780812299953	Hinnershitz	9780812299953		fulltext		University of Pennsylvania Press	monograph	2022	2021						P	
Jews and Journeys		9780812297935							https://www.degruyter.com/openurl?genre=book&isbn=9780812297935		9780812297935		fulltext		University of Pennsylvania Press	monograph	2021	2021			Levinson			P	
Jungle Passports		9780812297768							https://www.degruyter.com/openurl?genre=book&isbn=9780812297768	Sur	9780812297768		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Kant and the Possibility of Progress		9780812297799							https://www.degruyter.com/openurl?genre=book&isbn=9780812297799		9780812297799		fulltext		University of Pennsylvania Press	monograph	2021	2021			Stoner			P	
King Seneb-Kay's Tomb and the Necropolis of a Lost Dynasty at Abydos		9781949057102							https://www.degruyter.com/openurl?genre=book&isbn=9781949057102	Cahail	9781949057102		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Knowing Fictions		9780812299502							https://www.degruyter.com/openurl?genre=book&isbn=9780812299502	Fuchs	9780812299502		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1225287207
Legacies of Fukushima		9780812298000							https://www.degruyter.com/openurl?genre=book&isbn=9780812298000		9780812298000		fulltext		University of Pennsylvania Press	monograph	2021	2021			Cleveland			P	1243539916
Making the Miscellany		9780812298024							https://www.degruyter.com/openurl?genre=book&isbn=9780812298024	Heffernan	9780812298024		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1237410604
Mastering Emotions		9780812299984							https://www.degruyter.com/openurl?genre=book&isbn=9780812299984	Dwyer	9780812299984		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Medieval Badges		9780812299687							https://www.degruyter.com/openurl?genre=book&isbn=9780812299687	Rasmussen	9780812299687		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Meter and Modernity in English Verse, 1350-1650		9780812297478							https://www.degruyter.com/openurl?genre=book&isbn=9780812297478	Weiskott	9780812297478		fulltext		University of Pennsylvania Press	monograph	2021	2020						P	1223096383
New Towns for the Twenty-First Century		9780812297317							https://www.degruyter.com/openurl?genre=book&isbn=9780812297317		9780812297317		fulltext		University of Pennsylvania Press	monograph	2021	2021			Peiser			P	1224365640
No Globalization Without Representation		9780812299663							https://www.degruyter.com/openurl?genre=book&isbn=9780812299663	Adler	9780812299663		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
No Wood, No Kingdom		9780812299557							https://www.degruyter.com/openurl?genre=book&isbn=9780812299557	Pluymers	9780812299557		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1244625136
Occupied America		9780812297454							https://www.degruyter.com/openurl?genre=book&isbn=9780812297454	Johnson	9780812297454		fulltext		University of Pennsylvania Press	monograph	2021	2020						P	1183957996
Perspectives on Fair Housing		9780812297447							https://www.degruyter.com/openurl?genre=book&isbn=9780812297447		9780812297447		fulltext		University of Pennsylvania Press	monograph	2021	2020			Pritchett			P	1224122335
Philadelphia Stories		9780812299656							https://www.degruyter.com/openurl?genre=book&isbn=9780812299656		9780812299656		fulltext		University of Pennsylvania Press	monograph	2021	2021			Hessinger			P	1240585519
Power, Participation, and Private Regulatory Initiatives		9780812299694							https://www.degruyter.com/openurl?genre=book&isbn=9780812299694		9780812299694		fulltext		University of Pennsylvania Press	monograph	2021	2021			Taylor			P	
Prague and Beyond		9780812299595							https://www.degruyter.com/openurl?genre=book&isbn=9780812299595		9780812299595		fulltext		University of Pennsylvania Press	monograph	2021	2021			Čapková			P	
Rabbi Leo Baeck		9780812299519							https://www.degruyter.com/openurl?genre=book&isbn=9780812299519	Meyer	9780812299519		fulltext		University of Pennsylvania Press	monograph	2021	2020						P	1190723979
Resounding the Sublime		9780812299564							https://www.degruyter.com/openurl?genre=book&isbn=9780812299564	Stanyon	9780812299564		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Star Territory		9780812297904							https://www.degruyter.com/openurl?genre=book&isbn=9780812297904	Fraser	9780812297904		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
Surveillance Capitalism in America		9780812299946							https://www.degruyter.com/openurl?genre=book&isbn=9780812299946		9780812299946		fulltext		University of Pennsylvania Press	monograph	2021	2021			Lipartito			P	
Survival		9780812297867							https://www.degruyter.com/openurl?genre=book&isbn=9780812297867	Stern	9780812297867		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1237410770
The Apache Diaspora		9780812299540							https://www.degruyter.com/openurl?genre=book&isbn=9780812299540	Conrad	9780812299540		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1240581159
The Belief in Intuition		9780812297911							https://www.degruyter.com/openurl?genre=book&isbn=9780812297911	Alfaro Altamirano	9780812297911		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1240581370
The Book of Books		9780812297669							https://www.degruyter.com/openurl?genre=book&isbn=9780812297669	Fulton	9780812297669		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
The Changing Terrain of Religious Freedom		9780812298307							https://www.degruyter.com/openurl?genre=book&isbn=9780812298307		9780812298307		fulltext		University of Pennsylvania Press	monograph	2021	2021			Sharkey			P	
The Christian Jew and the Unmarked Jewess		9780812297508							https://www.degruyter.com/openurl?genre=book&isbn=9780812297508		9780812297508		fulltext		University of Pennsylvania Press	monograph	2021	2020			Karras			P	1226585734
The Clerical Proletariat and the Resurgence of Medieval English Poetry		9780812298017							https://www.degruyter.com/openurl?genre=book&isbn=9780812298017	Kerby-Fulton	9780812298017		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	1244624147
The Color of Equality		9780812299670							https://www.degruyter.com/openurl?genre=book&isbn=9780812299670	Vartija	9780812299670		fulltext		University of Pennsylvania Press	monograph	2021	2021						P	
The Creole Archipelago		9780812299977							https://www.degruyter.com/openurl?genre=book&isbn=9780812299977	Murphy	9780812299977		fulltext		University of Pennsylvania Press	monograph	2022	2021						P	
