PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Gospel for the Poor		9780812296051							https://www.degruyter.com/openurl?genre=book&isbn=9780812296051	Kirkpatrick	9780812296051		fulltext		University of Pennsylvania Press	monograph	2019	2019						P	1097608199
Ancient Christian Ecopoetics		9780812295726							https://www.degruyter.com/openurl?genre=book&isbn=9780812295726	Burrus	9780812295726		fulltext		University of Pennsylvania Press	monograph	2019	2018						P	1143795035
Ban Chiang, Northeast Thailand, Volume 2B		9781931707923							https://www.degruyter.com/openurl?genre=book&isbn=9781931707923		9781931707923		fulltext		University of Pennsylvania Press	monograph	2019	2019			Hamilton			P	1085166121
Battle Lines		9780812295580							https://www.degruyter.com/openurl?genre=book&isbn=9780812295580	Richards	9780812295580		fulltext		University of Pennsylvania Press	monograph	2019	2018						P	1056109809
Beyond Virtue and Vice		9780812295757							https://www.degruyter.com/openurl?genre=book&isbn=9780812295757		9780812295757		fulltext		University of Pennsylvania Press	monograph	2019	2019			Miller			P	1085493075
Blue-Collar Conservatism		9780812295436							https://www.degruyter.com/openurl?genre=book&isbn=9780812295436	Lombardo	9780812295436		fulltext		University of Pennsylvania Press	monograph	2019	2018						P	1051770858
Carnal Spirit		9780812296105							https://www.degruyter.com/openurl?genre=book&isbn=9780812296105	Maguire	9780812296105		fulltext		University of Pennsylvania Press	monograph	2019	2019						P	1101780905
China's Capitalism		9780812295795							https://www.degruyter.com/openurl?genre=book&isbn=9780812295795	ten Brink	9780812295795		fulltext		University of Pennsylvania Press	monograph	2019	2019						P	1086209564
Citizenship Beyond Nationality		9780812296068							https://www.degruyter.com/openurl?genre=book&isbn=9780812296068	Pedroza	9780812296068		fulltext		University of Pennsylvania Press	monograph	2019	2019						P	1107258449
Colonial Ecology, Atlantic Economy		9780812296143							https://www.degruyter.com/openurl?genre=book&isbn=9780812296143	Roberts	9780812296143		fulltext		University of Pennsylvania Press	monograph	2019	2019						P	1097973967
Colonial Justice and the Jews of Venetian Crete		9780812295917							https://www.degruyter.com/openurl?genre=book&isbn=9780812295917	Lauer	9780812295917		fulltext		University of Pennsylvania Press	monograph	2019	2019						P	1089683571
