PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Cuban in Mayberry		9780292759244							https://www.degruyter.com/openurl?genre=book&isbn=9780292759244	Pérez Firmat	9780292759244		fulltext		University of Texas Press	monograph	2014	2021						P	
A Right to Health		9780292766631							https://www.degruyter.com/openurl?genre=book&isbn=9780292766631	Jerome	9780292766631		fulltext		University of Texas Press	monograph	2015	2021						P	
Acting Up and Getting Down		9780292727656							https://www.degruyter.com/openurl?genre=book&isbn=9780292727656		9780292727656		fulltext		University of Texas Press	monograph	2014	2021			Holt			P	
American Christianity		9780292758605							https://www.degruyter.com/openurl?genre=book&isbn=9780292758605	Cox	9780292758605		fulltext		University of Texas Press	monograph	2014	2021						P	
Americans in the Treasure House		9780292753815							https://www.degruyter.com/openurl?genre=book&isbn=9780292753815	Ruiz	9780292753815		fulltext		University of Texas Press	monograph	2014	2021						P	
Among Unknown Tribes		9780292754645							https://www.degruyter.com/openurl?genre=book&isbn=9780292754645	Broyles	9780292754645		fulltext		University of Texas Press	monograph	2014	2021						P	
Arab Responses to Fascism and Nazism		9780292757462							https://www.degruyter.com/openurl?genre=book&isbn=9780292757462		9780292757462		fulltext		University of Texas Press	monograph	2014	2021			Gershoni			P	
Aransas		9780292760721							https://www.degruyter.com/openurl?genre=book&isbn=9780292760721	Harrigan	9780292760721		fulltext		University of Texas Press	monograph	2014	2021						P	
Argentine, Mexican, and Guatemalan Photography		9780292768338							https://www.degruyter.com/openurl?genre=book&isbn=9780292768338	Foster	9780292768338		fulltext		University of Texas Press	monograph	2014	2021						P	
Ascomycete Fungi of North America		9780292754539							https://www.degruyter.com/openurl?genre=book&isbn=9780292754539	Bessette	9780292754539		fulltext		University of Texas Press	monograph	2014	2021						P	
At Home with the Sapa Inca		9781477305492							https://www.degruyter.com/openurl?genre=book&isbn=9781477305492	Nair	9781477305492		fulltext		University of Texas Press	monograph	2015	2021						P	
Automotive Prosthetic		9780292754508							https://www.degruyter.com/openurl?genre=book&isbn=9780292754508	Terranova	9780292754508		fulltext		University of Texas Press	monograph	2014	2021						P	
Becoming Belafonte		9780292767331							https://www.degruyter.com/openurl?genre=book&isbn=9780292767331	Smith	9780292767331		fulltext		University of Texas Press	monograph	2014	2021						P	
