PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A History of Slavery and Emancipation in Iran, 1800-1929		9781477311875							https://www.degruyter.com/openurl?genre=book&isbn=9781477311875	Mirzai	9781477311875		fulltext		University of Texas Press	monograph	2017	2021						P	
A Perfectly Good Guitar		9781477312582							https://www.degruyter.com/openurl?genre=book&isbn=9781477312582	Holley	9781477312582		fulltext		University of Texas Press	monograph	2017	2021						P	
Bad Girls of the Arab World		9781477313374							https://www.degruyter.com/openurl?genre=book&isbn=9781477313374		9781477313374		fulltext		University of Texas Press	monograph	2017	2021			Quawas			P	
Batos, Bolillos, Pochos, and Pelados		9781477312704							https://www.degruyter.com/openurl?genre=book&isbn=9781477312704	Pisani	9781477312704		fulltext		University of Texas Press	monograph	2017	2021		Revised Edition				P	
Blood of the Earth		9781477311530							https://www.degruyter.com/openurl?genre=book&isbn=9781477311530	Young	9781477311530		fulltext		University of Texas Press	monograph	2017	2021						P	
Books Are Made Out of Books		9781477314692							https://www.degruyter.com/openurl?genre=book&isbn=9781477314692	Crews	9781477314692		fulltext		University of Texas Press	monograph	2017	2021						P	
Cattle in the Backlands		9781477311158							https://www.degruyter.com/openurl?genre=book&isbn=9781477311158	Wilcox	9781477311158		fulltext		University of Texas Press	monograph	2017	2021						P	
Chrissie Hynde		9781477313312							https://www.degruyter.com/openurl?genre=book&isbn=9781477313312	Sobsey	9781477313312		fulltext		University of Texas Press	monograph	2017	2021						P	
Cineaste on Film Criticism, Programming, and Preservation in the New Millennium		9781477313428							https://www.degruyter.com/openurl?genre=book&isbn=9781477313428		9781477313428		fulltext		University of Texas Press	monograph	2017	2021			Hamid			P	
Comic Book Film Style		9781477313268							https://www.degruyter.com/openurl?genre=book&isbn=9781477313268	Jeffries	9781477313268		fulltext		University of Texas Press	monograph	2017	2021						P	
Connecting The Wire		9781477311783							https://www.degruyter.com/openurl?genre=book&isbn=9781477311783	Corkin	9781477311783		fulltext		University of Texas Press	monograph	2017	2021						P	
Cormac McCarthy and Performance		9781477312056							https://www.degruyter.com/openurl?genre=book&isbn=9781477312056	Peebles	9781477312056		fulltext		University of Texas Press	monograph	2017	2021						P	
Culture and Revolution		9781477311721							https://www.degruyter.com/openurl?genre=book&isbn=9781477311721	Legrás	9781477311721		fulltext		University of Texas Press	monograph	2017	2021						P	
Delirious Consumption		9781477314364							https://www.degruyter.com/openurl?genre=book&isbn=9781477314364	Delgado Moya	9781477314364		fulltext		University of Texas Press	monograph	2017	2021						P	
Dopers in Uniform		9781477313978							https://www.degruyter.com/openurl?genre=book&isbn=9781477313978	Hoberman	9781477313978		fulltext		University of Texas Press	monograph	2017	2021						P	
Energy		9781477312919							https://www.degruyter.com/openurl?genre=book&isbn=9781477312919	McKetta	9781477312919		fulltext		University of Texas Press	monograph	2017	2021						P	
Every Day We Live Is the Future		9781477314173							https://www.degruyter.com/openurl?genre=book&isbn=9781477314173	Haynes	9781477314173		fulltext		University of Texas Press	monograph	2017	2021						P	
Evolving Images		9781477314272							https://www.degruyter.com/openurl?genre=book&isbn=9781477314272		9781477314272		fulltext		University of Texas Press	monograph	2017	2021			Huberman			P	
Flying Under the Radar with the Royal Chicano Air Force		9781477312414							https://www.degruyter.com/openurl?genre=book&isbn=9781477312414	Diaz	9781477312414		fulltext		University of Texas Press	monograph	2017	2021						P	
Framing a Lost City		9781477313695							https://www.degruyter.com/openurl?genre=book&isbn=9781477313695	Cox Hall	9781477313695		fulltext		University of Texas Press	monograph	2017	2021						P	
Frankie and Johnny		9781477312094							https://www.degruyter.com/openurl?genre=book&isbn=9781477312094	Morgan	9781477312094		fulltext		University of Texas Press	monograph	2017	2021						P	
From Strangers to Neighbors		9781477314104							https://www.degruyter.com/openurl?genre=book&isbn=9781477314104	Alaniz	9781477314104		fulltext		University of Texas Press	monograph	2017	2021						P	
Hysterical!		9781477314531							https://www.degruyter.com/openurl?genre=book&isbn=9781477314531		9781477314531		fulltext		University of Texas Press	monograph	2017	2021			Mizejewski			P	
Infrastructures of Race		9781477312612							https://www.degruyter.com/openurl?genre=book&isbn=9781477312612	Nemser	9781477312612		fulltext		University of Texas Press	monograph	2017	2021						P	
Jazz and Cocktails		9781477312285							https://www.degruyter.com/openurl?genre=book&isbn=9781477312285	Wager	9781477312285		fulltext		University of Texas Press	monograph	2017	2021						P	
Kuxlejal Politics		9781477314487							https://www.degruyter.com/openurl?genre=book&isbn=9781477314487	Mora	9781477314487		fulltext		University of Texas Press	monograph	2017	2021						P	
La India María		9781477313466							https://www.degruyter.com/openurl?genre=book&isbn=9781477313466	Rohrer	9781477313466		fulltext		University of Texas Press	monograph	2017	2021						P	
