PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Birder’s West Indies		9780292761872							https://www.degruyter.com/openurl?genre=book&isbn=9780292761872	Wauer	9780292761872		fulltext		University of Texas Press	monograph	1996	2021						P	
A Companion to Greek Tragedy		9780292759695							https://www.degruyter.com/openurl?genre=book&isbn=9780292759695	Ferguson	9780292759695		fulltext		University of Texas Press	monograph	1972	2021						P	
a dirty hand		9780292759176							https://www.degruyter.com/openurl?genre=book&isbn=9780292759176	Scott	9780292759176		fulltext		University of Texas Press	monograph	1969	2021						P	
A Dream of Arcadia		9781477301210							https://www.degruyter.com/openurl?genre=book&isbn=9781477301210	Litvak	9781477301210		fulltext		University of Texas Press	monograph	1975	2021						P	
A Favored Place		9780292754904							https://www.degruyter.com/openurl?genre=book&isbn=9780292754904	Siemens	9780292754904		fulltext		University of Texas Press	monograph	1998	2021						P	
A Grammar of Mam, A Mayan Language		9780292762466							https://www.degruyter.com/openurl?genre=book&isbn=9780292762466	England	9780292762466		fulltext		University of Texas Press	monograph	1983	2021						P	
A History of Hispanic Theatre in the United States		9780292761551							https://www.degruyter.com/openurl?genre=book&isbn=9780292761551	Kanellos	9780292761551		fulltext		University of Texas Press	monograph	1990	2021						P	
A Hopi Social History		9780292767881							https://www.degruyter.com/openurl?genre=book&isbn=9780292767881	Rushforth	9780292767881		fulltext		University of Texas Press	monograph	1992	2021						P	
A Long March		9780292761773							https://www.degruyter.com/openurl?genre=book&isbn=9780292761773	Steinbach	9780292761773		fulltext		University of Texas Press	monograph	1990	2021						P	
A Manual for Neanderthals		9781477300275							https://www.degruyter.com/openurl?genre=book&isbn=9781477300275	Mewhinney	9781477300275		fulltext		University of Texas Press	monograph	1957	2021						P	
A Mexican Family Empire		9780292762589							https://www.degruyter.com/openurl?genre=book&isbn=9780292762589	Harris	9780292762589		fulltext		University of Texas Press	monograph	1975	2022						P	
A Non-Existent Man		9780292749740							https://www.degruyter.com/openurl?genre=book&isbn=9780292749740	Smith	9780292749740		fulltext		University of Texas Press	monograph	1962	2021						P	
A Political Education		9780292792425							https://www.degruyter.com/openurl?genre=book&isbn=9780292792425	McPherson	9780292792425		fulltext		University of Texas Press	monograph	1995	2022						P	
A Pompeian Herbal		9781477302675							https://www.degruyter.com/openurl?genre=book&isbn=9781477302675	Jashemski	9781477302675		fulltext		University of Texas Press	monograph	1999	2021						P	
A Rain of Darts		9780292762374							https://www.degruyter.com/openurl?genre=book&isbn=9780292762374	Brundage	9780292762374		fulltext		University of Texas Press	monograph	1972	2021						P	
A Rosario Castellanos Reader		9780292747814							https://www.degruyter.com/openurl?genre=book&isbn=9780292747814	Castellanos	9780292747814		fulltext		University of Texas Press	monograph	1988	2021						P	
A Saint Is Born in Chima		9780292753624							https://www.degruyter.com/openurl?genre=book&isbn=9780292753624		9780292753624		fulltext		University of Texas Press	monograph	1991	2021						P	
A Search for Solvency		9780292772229							https://www.degruyter.com/openurl?genre=book&isbn=9780292772229	Eckes	9780292772229		fulltext		University of Texas Press	monograph	1975	2021						P	
A Shi'ite Pilgrimage to Mecca, 1885-1886		9780292716506							https://www.degruyter.com/openurl?genre=book&isbn=9780292716506	Farâhâni	9780292716506		fulltext		University of Texas Press	monograph	1990	2022						P	
A Trade like Any Other		9780292757103							https://www.degruyter.com/openurl?genre=book&isbn=9780292757103	van Nieuwkerk	9780292757103		fulltext		University of Texas Press	monograph	1995	2021						P	
A Wetland Biography		9780292761438							https://www.degruyter.com/openurl?genre=book&isbn=9780292761438	Gomez	9780292761438		fulltext		University of Texas Press	monograph	1998	2021						P	
A World Outside		9781477301630							https://www.degruyter.com/openurl?genre=book&isbn=9781477301630	Patteson	9781477301630		fulltext		University of Texas Press	monograph	1987	2021						P	
Access to Origins		9780292759787							https://www.degruyter.com/openurl?genre=book&isbn=9780292759787	Helms	9780292759787		fulltext		University of Texas Press	monograph	1998	2021						P	
Administrative Implementation of Civil Rights		9780292766518							https://www.degruyter.com/openurl?genre=book&isbn=9780292766518	Witherspoon	9780292766518		fulltext		University of Texas Press	monograph	1968	2021						P	
Adventures with a Texas Naturalist		9780292757042							https://www.degruyter.com/openurl?genre=book&isbn=9780292757042	Bedichek	9780292757042		fulltext		University of Texas Press	monograph	1994	2021						P	
After the Cold War		9780292767799							https://www.degruyter.com/openurl?genre=book&isbn=9780292767799		9780292767799		fulltext		University of Texas Press	monograph	1997	2021			Lepor			P	
Agrarian Crisis in India		9781477300138							https://www.degruyter.com/openurl?genre=book&isbn=9781477300138	Jannuzi	9781477300138		fulltext		University of Texas Press	monograph	1974	2021						P	
Alfonso Reyes and Spain		9780292733381							https://www.degruyter.com/openurl?genre=book&isbn=9780292733381	Aponte	9780292733381		fulltext		University of Texas Press	monograph	1972	2021						P	
Ambassadors at Sea		9780292761407							https://www.degruyter.com/openurl?genre=book&isbn=9780292761407	Catto	9780292761407		fulltext		University of Texas Press	monograph	1998	2021						P	
American and British Writers in Mexico, 1556-1973		9780292773103							https://www.degruyter.com/openurl?genre=book&isbn=9780292773103	Gunn	9780292773103		fulltext		University of Texas Press	monograph	1974	2021						P	
