PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Book on the Making of Lonesome Dove		9780292739482							https://www.degruyter.com/openurl?genre=book&isbn=9780292739482	Spong	9780292739482		fulltext		University of Texas Press	monograph	2012	2021						P	
A Future for Amazonia		9780292739512							https://www.degruyter.com/openurl?genre=book&isbn=9780292739512	Cepek	9780292739512		fulltext		University of Texas Press	monograph	2012	2021						P	
A Gringa in Bogotá		9780292793040							https://www.degruyter.com/openurl?genre=book&isbn=9780292793040	Erlick	9780292793040		fulltext		University of Texas Press	monograph	2010	2021						P	
A Guide to the Carnivores of Central America		9780292767645							https://www.degruyter.com/openurl?genre=book&isbn=9780292767645	Nocke	9780292767645		fulltext		University of Texas Press	monograph	2000	2021						P	
A Hanging in Nacogdoches		9780292795983							https://www.degruyter.com/openurl?genre=book&isbn=9780292795983	Borders	9780292795983		fulltext		University of Texas Press	monograph	2006	2021						P	
A Journey Around Our America		9780292742093							https://www.degruyter.com/openurl?genre=book&isbn=9780292742093	Mendoza	9780292742093		fulltext		University of Texas Press	monograph	2012	2021						P	
A Law for the Lion		9780292796270							https://www.degruyter.com/openurl?genre=book&isbn=9780292796270	de la Garza	9780292796270		fulltext		University of Texas Press	monograph	2003	2021						P	
A Natural History of Belize		9780292739000							https://www.degruyter.com/openurl?genre=book&isbn=9780292739000	Bridgewater	9780292739000		fulltext		University of Texas Press	monograph	2012	2021						P	
A Poetics for Screenwriters		9780292797970							https://www.degruyter.com/openurl?genre=book&isbn=9780292797970	Lee	9780292797970		fulltext		University of Texas Press	monograph	2001	2021						P	
A Reader in Latina Feminist Theology		9780292796546							https://www.degruyter.com/openurl?genre=book&isbn=9780292796546		9780292796546		fulltext		University of Texas Press	monograph	2002	2021			Rodríguez			P	
