PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Conviction in Question		9781487516246							https://www.degruyter.com/openurl?genre=book&isbn=9781487516246	Freedman	9781487516246		fulltext		University of Toronto Press	monograph	2017	2018						P	1054879580
A Croce Reader		9781442694378							https://www.degruyter.com/openurl?genre=book&isbn=9781442694378		9781442694378		fulltext		University of Toronto Press	monograph	2017	2018			Verdicchio			P	1054879254
A Nobel Affair		9781487513924							https://www.degruyter.com/openurl?genre=book&isbn=9781487513924	Rummel	9781487513924		fulltext		University of Toronto Press	monograph	2017	2018						P	1046617196
A Third Collection		9781487513665							https://www.degruyter.com/openurl?genre=book&isbn=9781487513665		9781487513665		fulltext		University of Toronto Press	monograph	2017	2021			Doran, S.J.			P	1233041113
Ambiguous Antidotes		9781487514648							https://www.degruyter.com/openurl?genre=book&isbn=9781487514648	Kallendorf	9781487514648		fulltext		University of Toronto Press	monograph	2017	2018						P	1076409811
An Exceptional Law		9781442629592							https://www.degruyter.com/openurl?genre=book&isbn=9781442629592	Molinaro	9781442629592		fulltext		University of Toronto Press	monograph	2017	2018						P	1054881320
Asian Canadian Studies Reader		9781442630291							https://www.degruyter.com/openurl?genre=book&isbn=9781442630291		9781442630291		fulltext		University of Toronto Press	monograph	2017	2021			Pon			P	
Austerity		9781487515584							https://www.degruyter.com/openurl?genre=book&isbn=9781487515584		9781487515584		fulltext		University of Toronto Press	monograph	2017	2018			McBride			P	1054879665
Baby Trouble in the Last Best West		9781442663350							https://www.degruyter.com/openurl?genre=book&isbn=9781442663350	Kaler	9781442663350		fulltext		University of Toronto Press	monograph	2017	2018						P	1054879403
Beau Monde on Empire’s Edge		9781487513436							https://www.degruyter.com/openurl?genre=book&isbn=9781487513436	Fowler	9781487513436		fulltext		University of Toronto Press	monograph	2017	2018						P	1054880265
