PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Beautiful Ending		9780300265446							https://www.degruyter.com/openurl?genre=book&isbn=9780300265446	Martin	9780300265446		fulltext		Yale University Press	monograph	2022	2022						P	
A Blue New Deal		9780300264999							https://www.degruyter.com/openurl?genre=book&isbn=9780300264999	Armstrong	9780300264999		fulltext		Yale University Press	monograph	2022	2022						P	
A Little History of Art		9780300265538							https://www.degruyter.com/openurl?genre=book&isbn=9780300265538	Mullins	9780300265538		fulltext		Yale University Press	monograph	2022	2022						P	
Admiral Hyman Rickover		9780300264937							https://www.degruyter.com/openurl?genre=book&isbn=9780300264937	Wortman	9780300264937		fulltext		Yale University Press	monograph	2022	2022						P	
Adventurer		9780300265088							https://www.degruyter.com/openurl?genre=book&isbn=9780300265088	Damrosch	9780300265088		fulltext		Yale University Press	monograph	2022	2022						P	
After Disbelief		9780300265330							https://www.degruyter.com/openurl?genre=book&isbn=9780300265330	Kronman	9780300265330		fulltext		Yale University Press	monograph	2022	2022						P	
Ancient DNA		9780300262377							https://www.degruyter.com/openurl?genre=book&isbn=9780300262377	Jones	9780300262377		fulltext		Yale University Press	monograph	2022	2022						P	
Beacon to the World		9780300265583							https://www.degruyter.com/openurl?genre=book&isbn=9780300265583	Polisi	9780300265583		fulltext		Yale University Press	monograph	2022	2022						P	
Becoming Elijah		9780300264920							https://www.degruyter.com/openurl?genre=book&isbn=9780300264920	Matt	9780300264920		fulltext		Yale University Press	monograph	2022	2022						P	
Burning the Big House		9780300265118							https://www.degruyter.com/openurl?genre=book&isbn=9780300265118	Dooley	9780300265118		fulltext		Yale University Press	monograph	2022	2022						P	
California		9780300265187							https://www.degruyter.com/openurl?genre=book&isbn=9780300265187	Faragher	9780300265187		fulltext		Yale University Press	monograph	2022	2022						P	
Cheap Speech		9780300265255							https://www.degruyter.com/openurl?genre=book&isbn=9780300265255	Hasen	9780300265255		fulltext		Yale University Press	monograph	2022	2022						P	
Confronting Climate Gridlock		9780300265057							https://www.degruyter.com/openurl?genre=book&isbn=9780300265057		9780300265057		fulltext		Yale University Press	monograph	2022	2022						P	
Cornwallis		9780300265507							https://www.degruyter.com/openurl?genre=book&isbn=9780300265507	Middleton	9780300265507		fulltext		Yale University Press	monograph	2022	2022						P	
Decision Leadership		9780300265521							https://www.degruyter.com/openurl?genre=book&isbn=9780300265521	Bazerman	9780300265521		fulltext		Yale University Press	monograph	2022	2022						P	
