PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Baedeker of Decadence		9780300159202							https://www.degruyter.com/openurl?genre=book&isbn=9780300159202	Hill	9780300159202		fulltext		Yale University Press	monograph	1992	1992						P	1024018470
A Common Faith		9780300173468							https://www.degruyter.com/openurl?genre=book&isbn=9780300173468	Dewey	9780300173468		fulltext		Yale University Press	monograph	1960	1960						P	952755530
A Diplomatic History of the American Revolution		9780300162172							https://www.degruyter.com/openurl?genre=book&isbn=9780300162172	Peretz	9780300162172		fulltext		Yale University Press	monograph	1991	1991						P	1024040390
A New Hymnal for Colleges and Schools		9780300150520							https://www.degruyter.com/openurl?genre=book&isbn=9780300150520		9780300150520		fulltext		Yale University Press	monograph	1992	1992			Harshav			P	861792528
Abraham Joshua Heschel		9780300150292							https://www.degruyter.com/openurl?genre=book&isbn=9780300150292		9780300150292		fulltext		Yale University Press	monograph	1998	1998			Marecek			P	884499485
Abram Tertz and the Poetics of Crime		9780300156980							https://www.degruyter.com/openurl?genre=book&isbn=9780300156980	Seidman	9780300156980		fulltext		Yale University Press	monograph	1995	1995						P	1046606457
Adonis		9780300168693							https://www.degruyter.com/openurl?genre=book&isbn=9780300168693	Adonis	9780300168693		fulltext		Yale University Press	monograph	2010	1993						P	1024049758
Allies for Armageddon		9780300177077							https://www.degruyter.com/openurl?genre=book&isbn=9780300177077	Heymann	9780300177077		fulltext		Yale University Press	monograph	2007	1996						P	1024020250
American Elites		9780300146196							https://www.degruyter.com/openurl?genre=book&isbn=9780300146196	Barron	9780300146196		fulltext		Yale University Press	monograph	1996	1996						P	861792546
American Politics in the Early Republic		9780300157376							https://www.degruyter.com/openurl?genre=book&isbn=9780300157376	Sharp	9780300157376		fulltext		Yale University Press	monograph	1993	1993						P	884499483
