PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A “Handbook” to the Russian Text of Crime and Punishment	9789027933270	9783110805383							https://www.degruyter.com/openurl?genre=book&isbn=9783110805383	Lehrman	9783110805383		fulltext		De Gruyter Mouton	monograph	1977	2019		Reprint 2019				P	1121052848
After Newspeak		9780801470578							https://www.degruyter.com/openurl?genre=book&isbn=9780801470578	Gorham	9780801470578		fulltext		Cornell University Press	monograph	2014	2014						P	979778561
Avant-Garde Art in Ukraine, 1910–1930		9781618119766							https://www.degruyter.com/openurl?genre=book&isbn=9781618119766	Shkandrij	9781618119766		fulltext		Academic Studies Press	monograph	2019	2019						P	1081338545
Belorussia	9780674436633	9780674436640							https://www.degruyter.com/openurl?genre=book&isbn=9780674436640	Vakar	9780674436640		fulltext		Harvard University Press	monograph	1956	2013		Reprint 2014				P	979743395
Besatzung, Kollaboration, Holocaust	9783486587289	9783486702781							https://www.degruyter.com/openurl?genre=book&isbn=9783486702781		9783486702781		fulltext		Oldenbourg Wissenschaftsverlag	monograph	2008	2010			Hürter			P	979593263
Beyond Boycotts	9783110526660	9783110529098							https://www.degruyter.com/openurl?genre=book&isbn=9783110529098		9783110529098		fulltext		De Gruyter Oldenbourg	monograph	2018	2017			Vonnard			P	1020033307
Bridging East and West		9781442630765							https://www.degruyter.com/openurl?genre=book&isbn=9781442630765	Ladygina	9781442630765		fulltext		University of Toronto Press	monograph	2019	2020						P	1138528590
Building Europe	9783110427776	9783110424812							https://www.degruyter.com/openurl?genre=book&isbn=9783110424812	Loth	9783110424812		fulltext		De Gruyter Oldenbourg	monograph	2015	2015						F	961903056
Chapaev and his Comrades		9781618116932							https://www.degruyter.com/openurl?genre=book&isbn=9781618116932	Brintlinger	9781618116932		fulltext		Academic Studies Press	monograph	2012	2017						F	1135591785
Children of Rus'		9780801469268							https://www.degruyter.com/openurl?genre=book&isbn=9780801469268	Hillis	9780801469268		fulltext		Cornell University Press	monograph	2017	2013						P	979622664
Cold War Captives		9780520944794							https://www.degruyter.com/openurl?genre=book&isbn=9780520944794	Carruthers	9780520944794		fulltext		University of California Press	monograph	2009	2009						P	646846803
Complicated Complicity	9783110671087	9783110671186							https://www.degruyter.com/openurl?genre=book&isbn=9783110671186		9783110671186		fulltext		De Gruyter Oldenbourg	monograph	2021	2021			Schoeps			P	
Contested Russian Tourism		9781644694213							https://www.degruyter.com/openurl?genre=book&isbn=9781644694213	Layton	9781644694213		fulltext		Academic Studies Press	monograph	2021	2021						P	
Corporate Governance in Russia	9783110695700	9783110695816							https://www.degruyter.com/openurl?genre=book&isbn=9783110695816		9783110695816		fulltext		De Gruyter	monograph	2021	2020			Dementieva			P	1229161241
